1,0.47,0.28,3.57,2,3.5667187500000002
11,0.21,0.22,3.65,6,3.6539062499999999
21,0.19,0.21,3.22,16,3.2196875
31,0.18,0.2,3.6,47,3.5998437499999998
41,0.17,0.2,3.16,42,3.1578124999999999
51,0.16,0.19,3.46,49,3.4550000000000001
61,0.16,0.22,3.17,72,3.1734374999999999
71,0.16,0.2,3.32,58,3.31640625
81,0.16,0.18,3.52,58,3.5174218750000001
91,0.15,0.2,3.29,61,3.2917968750000002
101,0.15,0.19,3.82,40,3.82421875
111,0.15,0.2,3.75,58,3.751484375
121,0.14,0.17,3.13,71,3.1290624999999999
131,0.14,0.19,3.32,63,3.3190624999999998
141,0.14,0.22,3.7,52,3.703125
151,0.14,0.17,3.63,50,3.631796875
161,0.14,0.17,3.36,65,3.3628125
171,0.14,0.22,3.26,47,3.2599999999999998
181,0.14,0.18,3.47,61,3.4725000000000001
191,0.13,0.24,3.46,54,3.4585937499999999
