1,0.49,0.28,3.42,3,3.415
11,0.22,0.22,3.37,2,3.3695312500000001
21,0.2,0.2,3.8,11,3.79734375
31,0.19,0.2,3.67,12,3.6684375
41,0.18,0.22,3.32,8,3.3234374999999998
51,0.18,0.18,3.36,30,3.3635937500000002
61,0.17,0.2,3.35,17,3.3501562499999999
71,0.17,0.18,3.28,14,3.2780468749999998
81,0.17,0.19,3.32,13,3.3203125
91,0.17,0.19,3.42,22,3.4209375
101,0.17,0.19,3.54,32,3.5399218750000001
111,0.17,0.17,3.18,42,3.1814843750000001
121,0.17,0.2,4.01,30,4.01078125
131,0.17,0.18,3.69,28,3.6907812500000001
141,0.17,0.18,3.43,34,3.4314062500000002
151,0.17,0.18,3.2,48,3.1999218749999998
161,0.17,0.18,3.49,42,3.4859374999999999
171,0.16,0.19,3.23,39,3.2278125000000002
181,0.16,0.19,3.49,59,3.4861718750000001
191,0.17,0.18,3.17,28,3.1681249999999999
