1,0.64,0.53,3.69,2,3.6867187499999998
11,0.21,0.16,3.71,3,3.71046875
21,0.17,0.12,1.45,32,1.4542187499999999
31,0.15,0.11,1.41,32,1.4083593750000001
41,0.14,0.1,1.43,37,1.4260937499999999
51,0.13,0.1,1.43,36,1.434609375
61,0.13,0.09,1.53,38,1.526640625
71,0.12,0.09,1.44,41,1.4407812499999999
81,0.12,0.09,1.51,34,1.50953125
91,0.12,0.09,1.56,40,1.5601562499999999
101,0.11,0.1,1.48,43,1.4815624999999999
111,0.11,0.09,1.45,42,1.4461718750000001
121,0.11,0.1,1.46,38,1.455078125
131,0.11,0.1,1.56,33,1.5630468749999999
141,0.13,0.09,1.56,31,1.5609375000000001
151,0.11,0.09,1.51,39,1.5096875000000001
161,0.11,0.09,1.5,38,1.4962500000000001
171,0.11,0.1,1.42,41,1.4236718749999999
181,0.11,0.1,1.48,35,1.4753125
191,0.1,0.1,1.46,39,1.46140625
