epoch,loss1,loss12,val_loss1,val_loss12,errCntAvg1,errCntAvg12,uniqIdx1,uniqIdx12,norm1,norm12
10,567.06,0.29,566.36,0.28,3.34,1.48,45,1,3.3439062499999999,1.48265625
20,566.41,0.19,566.34,0.18,3.34,1.48,44,1,3.3397656250000001,1.48265625
30,566.35,0.19,566.33,0.18,3.8,3.9,45,4,3.7959375,3.9026562500000002
40,566.34,0.18,566.33,0.18,3.27,4.48,45,5,3.2678124999999998,4.4767187499999999
