epoch,loss,val_loss,errCntAvg
5,0.46,0.48,4.04
10,0.44,0.44,4.06
15,0.43,0.44,4.07
20,0.43,0.43,4.1
25,0.43,0.43,4.09
30,0.42,0.43,4.05
35,0.42,0.43,4.07
40,0.42,0.43,4.11
45,0.42,0.43,4.14
50,0.42,0.43,4.06
55,0.42,0.43,4.08
60,0.41,0.43,4.06
