epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.41,0.67,3.2,0.36,2.86,3.77,2.82,3.75
2,3.74,0.47,3.5,0.45,3.06,3.83,3.02,3.83
3,3.1,0.43,2.43,0.33,1.62,3.97,1.63,3.97
4,2.79,0.41,2.16,0.36,1.57,3.83,1.53,3.81
5,2.62,0.41,1.97,0.33,1.34,3.86,1.28,3.87
6,2.54,0.39,1.89,0.32,1.4,3.94,1.3,3.95
7,2.47,0.39,2.1,0.31,1.48,3.87,1.47,3.87
8,2.52,0.38,2.0,0.3,1.4,3.86,1.34,3.85
9,2.45,0.38,1.74,0.29,1.34,3.85,1.26,3.85
10,2.35,0.38,1.71,0.28,1.41,3.93,1.33,3.95
11,2.3,0.37,1.72,0.28,1.46,3.93,1.4,3.92
12,2.27,0.36,1.72,0.27,1.47,3.85,1.42,3.88
13,2.25,0.36,1.7,0.27,1.43,3.79,1.36,3.78
14,2.24,0.35,1.67,0.26,1.46,3.8,1.37,3.79
15,2.26,0.36,1.8,0.28,1.48,3.86,1.42,3.86
16,2.3,0.36,1.97,0.29,1.53,3.75,1.53,3.76
17,2.25,0.36,1.67,0.26,1.46,3.81,1.41,3.8
18,2.21,0.35,1.64,0.27,1.34,3.7,1.27,3.69
19,2.18,0.35,1.59,0.25,1.35,3.76,1.31,3.77
20,2.16,0.35,1.55,0.25,1.36,3.76,1.3,3.76
21,2.14,0.35,1.54,0.25,1.3,3.77,1.24,3.75
22,2.12,0.34,1.56,0.25,1.34,3.78,1.26,3.81
23,2.11,0.34,1.55,0.24,1.3,3.75,1.21,3.74
24,2.1,0.34,1.53,0.24,1.32,3.78,1.25,3.78
25,2.09,0.34,1.52,0.24,1.34,3.75,1.27,3.76
26,2.08,0.34,1.52,0.24,1.29,3.71,1.23,3.72
27,2.07,0.34,1.53,0.25,1.34,3.76,1.28,3.75
28,2.05,0.34,1.5,0.24,1.3,3.75,1.21,3.75
29,2.04,0.34,1.5,0.24,1.27,3.75,1.22,3.75
30,2.03,0.33,1.51,0.24,1.33,3.75,1.25,3.74
31,2.02,0.33,1.52,0.24,1.31,3.76,1.25,3.75
32,2.05,0.34,1.5,0.24,1.25,3.76,1.2,3.76
33,2.03,0.34,1.48,0.25,1.25,3.77,1.19,3.79
34,2.0,0.33,1.5,0.24,1.3,3.76,1.23,3.76
35,2.0,0.33,1.51,0.24,1.3,3.76,1.24,3.76
36,1.99,0.33,1.49,0.24,1.33,3.79,1.28,3.81
37,1.98,0.33,1.47,0.24,1.28,3.78,1.22,3.8
38,1.97,0.33,1.47,0.24,1.25,3.77,1.17,3.77
39,1.96,0.33,1.47,0.24,1.33,3.79,1.26,3.79
40,1.94,0.33,1.44,0.24,1.26,3.75,1.18,3.74
41,1.94,0.33,1.45,0.24,1.32,3.77,1.28,3.79
42,1.94,0.33,1.46,0.24,1.28,3.79,1.22,3.78
43,1.92,0.32,1.45,0.24,1.28,3.79,1.2,3.78
44,1.92,0.32,1.48,0.25,1.28,3.73,1.21,3.72
45,1.91,0.32,1.47,0.24,1.3,3.77,1.23,3.79
46,1.89,0.32,1.46,0.24,1.27,3.76,1.22,3.76
47,1.88,0.32,1.46,0.24,1.26,3.78,1.22,3.79
48,1.87,0.32,1.47,0.24,1.31,3.77,1.27,3.75
49,1.87,0.32,1.48,0.24,1.28,3.74,1.24,3.74
50,1.85,0.32,1.46,0.24,1.3,3.78,1.22,3.77
51,1.83,0.31,1.48,0.24,1.31,3.75,1.27,3.73
52,1.84,0.31,1.47,0.24,1.33,3.76,1.3,3.78
53,1.84,0.31,1.47,0.24,1.28,3.77,1.23,3.78
54,1.82,0.31,1.47,0.24,1.31,3.75,1.26,3.73
55,1.8,0.31,1.47,0.24,1.32,3.78,1.29,3.78
56,1.79,0.31,1.47,0.24,1.32,3.77,1.27,3.78
57,1.77,0.31,1.49,0.24,1.29,3.74,1.25,3.78
58,1.77,0.31,1.49,0.24,1.34,3.75,1.29,3.76
59,1.76,0.31,1.49,0.24,1.31,3.73,1.26,3.73
60,1.74,0.3,1.5,0.24,1.33,3.72,1.3,3.72
61,1.74,0.3,1.5,0.24,1.31,3.76,1.23,3.76
62,1.73,0.3,1.49,0.24,1.33,3.77,1.28,3.78
63,1.71,0.3,1.48,0.24,1.3,3.74,1.26,3.76
64,1.69,0.29,1.5,0.24,1.3,3.76,1.26,3.78
65,1.67,0.29,1.49,0.24,1.3,3.73,1.24,3.72
66,1.66,0.29,1.52,0.25,1.33,3.76,1.32,3.76
67,1.65,0.29,1.51,0.25,1.29,3.74,1.25,3.75
68,1.64,0.29,1.51,0.24,1.3,3.74,1.27,3.75
69,1.62,0.28,1.53,0.25,1.31,3.74,1.26,3.75
70,1.62,0.28,1.5,0.25,1.29,3.75,1.25,3.74
71,1.61,0.28,1.52,0.25,1.3,3.78,1.27,3.79
72,1.58,0.28,1.51,0.24,1.29,3.77,1.26,3.78
73,1.58,0.28,1.53,0.25,1.32,3.75,1.29,3.78
74,1.56,0.28,1.55,0.25,1.34,3.75,1.3,3.73
75,1.55,0.28,1.52,0.25,1.31,3.75,1.29,3.74
76,1.52,0.27,1.55,0.25,1.33,3.74,1.32,3.73
77,1.5,0.27,1.59,0.26,1.34,3.74,1.3,3.74
78,1.49,0.27,1.55,0.25,1.35,3.75,1.31,3.73
79,1.47,0.26,1.57,0.26,1.35,3.73,1.33,3.73
80,1.45,0.26,1.6,0.26,1.36,3.74,1.35,3.74
81,1.45,0.26,1.56,0.26,1.33,3.75,1.31,3.75
82,1.41,0.26,1.59,0.26,1.34,3.75,1.29,3.74
83,1.4,0.25,1.61,0.26,1.31,3.74,1.26,3.74
84,1.38,0.25,1.61,0.26,1.34,3.73,1.31,3.75
85,1.36,0.25,1.63,0.26,1.37,3.72,1.37,3.72
86,1.34,0.24,1.62,0.26,1.35,3.76,1.34,3.77
87,1.32,0.24,1.68,0.27,1.42,3.79,1.37,3.79
88,1.31,0.24,1.64,0.27,1.39,3.73,1.34,3.76
89,1.29,0.24,1.64,0.27,1.38,3.74,1.36,3.76
90,1.26,0.23,1.65,0.27,1.37,3.76,1.33,3.76
91,1.24,0.23,1.65,0.27,1.34,3.75,1.31,3.75
92,1.23,0.23,1.66,0.27,1.33,3.74,1.32,3.73
93,1.21,0.23,1.67,0.27,1.35,3.76,1.32,3.77
94,1.2,0.22,1.71,0.28,1.35,3.76,1.33,3.76
95,1.18,0.22,1.69,0.28,1.35,3.74,1.32,3.72
96,1.15,0.22,1.69,0.28,1.35,3.73,1.32,3.73
97,1.13,0.21,1.74,0.28,1.39,3.77,1.35,3.78
98,1.1,0.21,1.72,0.28,1.35,3.78,1.32,3.76
99,1.09,0.21,1.78,0.29,1.4,3.77,1.37,3.77
100,1.05,0.2,1.74,0.29,1.36,3.77,1.34,3.78
101,1.03,0.2,1.82,0.3,1.4,3.77,1.36,3.77
102,1.02,0.2,1.84,0.3,1.41,3.78,1.4,3.8
103,0.99,0.19,1.85,0.3,1.38,3.77,1.34,3.75
104,0.96,0.19,1.82,0.3,1.41,3.78,1.41,3.81
105,0.95,0.19,1.89,0.3,1.41,3.77,1.39,3.74
106,0.93,0.18,1.9,0.3,1.4,3.74,1.37,3.76
107,0.91,0.18,1.91,0.31,1.36,3.75,1.34,3.75
108,0.9,0.18,1.95,0.32,1.39,3.74,1.36,3.74
109,0.88,0.18,1.94,0.31,1.37,3.76,1.35,3.78
110,0.87,0.17,1.93,0.31,1.38,3.75,1.33,3.75
111,0.85,0.17,1.9,0.31,1.39,3.76,1.35,3.76
112,0.86,0.17,1.91,0.31,1.38,3.75,1.34,3.76
113,0.84,0.17,1.96,0.31,1.4,3.77,1.38,3.78
