epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.67,0.7,4.36,0.65,3.35,3.75,3.3,3.79
2,4.42,0.65,3.82,0.56,1.6,3.76,1.53,3.77
3,4.01,0.59,2.81,0.43,1.5,3.75,1.46,3.72
4,3.36,0.51,2.22,0.33,1.47,3.81,1.45,3.79
5,3.06,0.48,2.42,0.35,1.57,3.84,1.54,3.85
6,2.92,0.45,2.57,0.38,2.95,3.82,2.93,3.84
7,2.87,0.44,2.29,0.37,1.7,3.79,1.69,3.79
8,2.77,0.43,1.99,0.35,1.5,3.84,1.5,3.82
9,2.7,0.42,1.9,0.33,1.39,3.87,1.35,3.86
10,2.63,0.42,1.88,0.32,1.39,3.84,1.37,3.84
11,2.55,0.41,1.83,0.31,1.36,3.71,1.34,3.66
12,2.47,0.41,1.77,0.29,1.52,3.63,1.52,3.57
13,2.45,0.4,1.77,0.29,1.55,3.85,1.55,3.84
14,2.42,0.39,1.75,0.28,1.46,3.93,1.43,3.93
15,2.39,0.39,1.73,0.27,1.41,3.94,1.4,3.93
16,2.37,0.39,1.71,0.27,1.38,3.94,1.33,3.93
17,2.35,0.38,1.7,0.27,1.4,3.9,1.34,3.91
18,2.33,0.38,1.7,0.27,1.4,3.84,1.34,3.83
19,2.33,0.38,1.7,0.27,1.43,3.84,1.37,3.83
20,2.31,0.38,1.68,0.27,1.43,3.87,1.39,3.85
21,2.3,0.38,1.67,0.27,1.4,3.9,1.33,3.9
22,2.28,0.37,1.66,0.27,1.4,3.9,1.33,3.89
23,2.27,0.37,1.66,0.26,1.39,3.88,1.33,3.88
24,2.26,0.37,1.66,0.26,1.41,3.88,1.36,3.88
25,2.25,0.37,1.65,0.26,1.41,3.88,1.35,3.87
26,2.24,0.37,1.64,0.26,1.41,3.88,1.36,3.87
27,2.23,0.36,1.64,0.26,1.38,3.86,1.32,3.84
28,2.22,0.36,1.63,0.26,1.39,3.86,1.34,3.85
29,2.21,0.36,1.62,0.26,1.4,3.85,1.34,3.82
30,2.2,0.36,1.62,0.26,1.38,3.84,1.32,3.82
31,2.19,0.36,1.61,0.26,1.38,3.83,1.33,3.8
32,2.18,0.36,1.6,0.26,1.37,3.8,1.3,3.76
33,2.18,0.36,1.59,0.26,1.38,3.8,1.32,3.78
34,2.17,0.36,1.58,0.26,1.35,3.76,1.3,3.72
35,2.16,0.36,1.6,0.25,1.34,3.73,1.28,3.71
36,2.17,0.36,1.62,0.27,1.36,3.72,1.31,3.71
37,2.18,0.36,1.67,0.27,1.35,3.75,1.3,3.73
38,2.2,0.36,1.59,0.25,1.32,3.74,1.29,3.75
39,2.17,0.36,1.58,0.26,1.34,3.74,1.26,3.73
40,2.15,0.36,1.57,0.26,1.39,3.75,1.3,3.73
41,2.14,0.36,1.57,0.26,1.37,3.75,1.28,3.74
42,2.13,0.35,1.56,0.25,1.31,3.71,1.23,3.73
43,2.13,0.35,1.56,0.25,1.3,3.7,1.21,3.72
44,2.12,0.35,1.56,0.25,1.36,3.76,1.29,3.76
45,2.11,0.35,1.55,0.25,1.34,3.73,1.25,3.72
46,2.11,0.35,1.55,0.25,1.32,3.71,1.25,3.7
47,2.1,0.35,1.54,0.25,1.31,3.71,1.23,3.71
48,2.1,0.35,1.53,0.25,1.3,3.71,1.23,3.71
49,2.09,0.35,1.53,0.25,1.31,3.72,1.26,3.71
50,2.09,0.35,1.53,0.25,1.29,3.7,1.23,3.7
51,2.08,0.35,1.52,0.25,1.3,3.7,1.24,3.7
52,2.08,0.35,1.52,0.25,1.31,3.71,1.26,3.69
53,2.07,0.35,1.52,0.25,1.27,3.69,1.2,3.68
54,2.07,0.35,1.51,0.25,1.3,3.72,1.24,3.7
55,2.07,0.35,1.51,0.25,1.28,3.71,1.22,3.69
56,2.07,0.35,1.51,0.25,1.28,3.71,1.21,3.69
57,2.06,0.34,1.51,0.25,1.31,3.74,1.24,3.72
58,2.05,0.34,1.5,0.25,1.28,3.74,1.22,3.71
59,2.05,0.34,1.5,0.24,1.27,3.74,1.2,3.71
60,2.04,0.34,1.49,0.25,1.28,3.74,1.22,3.73
61,2.04,0.34,1.5,0.24,1.3,3.73,1.23,3.74
62,2.04,0.34,1.49,0.24,1.28,3.74,1.21,3.75
63,2.03,0.34,1.49,0.24,1.28,3.74,1.21,3.73
64,2.03,0.34,1.48,0.25,1.28,3.75,1.22,3.75
65,2.02,0.34,1.49,0.24,1.28,3.74,1.21,3.7
66,2.02,0.34,1.48,0.24,1.28,3.74,1.22,3.72
67,2.02,0.34,1.49,0.24,1.3,3.75,1.24,3.73
68,2.01,0.34,1.49,0.24,1.28,3.74,1.22,3.73
69,2.01,0.34,1.48,0.24,1.31,3.76,1.25,3.72
70,2.0,0.34,1.48,0.24,1.27,3.75,1.2,3.72
71,2.0,0.34,1.47,0.24,1.27,3.75,1.18,3.74
72,2.0,0.34,1.48,0.24,1.28,3.74,1.2,3.72
73,1.99,0.34,1.47,0.24,1.28,3.74,1.21,3.74
74,1.99,0.34,1.47,0.24,1.27,3.75,1.21,3.73
75,1.99,0.34,1.47,0.24,1.27,3.75,1.21,3.73
76,1.98,0.34,1.47,0.24,1.28,3.76,1.22,3.74
77,1.98,0.34,1.47,0.24,1.27,3.75,1.22,3.74
78,1.97,0.34,1.47,0.24,1.28,3.76,1.23,3.74
79,1.97,0.34,1.47,0.24,1.27,3.75,1.2,3.74
80,1.97,0.34,1.47,0.24,1.27,3.75,1.2,3.74
81,1.97,0.34,1.47,0.24,1.27,3.75,1.21,3.74
82,1.96,0.33,1.46,0.24,1.28,3.75,1.21,3.75
83,1.96,0.34,1.47,0.24,1.26,3.75,1.2,3.73
84,1.96,0.33,1.46,0.24,1.27,3.75,1.21,3.73
85,1.96,0.33,1.46,0.24,1.26,3.75,1.2,3.74
86,1.95,0.33,1.45,0.24,1.28,3.75,1.21,3.74
87,1.95,0.33,1.46,0.24,1.29,3.76,1.22,3.75
88,1.94,0.33,1.46,0.24,1.27,3.76,1.22,3.74
89,1.94,0.33,1.45,0.24,1.25,3.75,1.17,3.74
90,1.94,0.33,1.46,0.24,1.27,3.77,1.21,3.74
91,1.94,0.33,1.46,0.24,1.26,3.78,1.2,3.75
92,1.93,0.33,1.45,0.24,1.27,3.75,1.17,3.75
93,1.93,0.33,1.47,0.24,1.25,3.75,1.18,3.74
94,1.92,0.33,1.46,0.24,1.27,3.76,1.21,3.76
95,1.92,0.33,1.45,0.24,1.26,3.76,1.18,3.75
96,1.92,0.33,1.46,0.24,1.26,3.76,1.21,3.75
97,1.92,0.33,1.46,0.24,1.26,3.76,1.18,3.75
98,1.91,0.33,1.46,0.24,1.27,3.77,1.21,3.77
99,1.91,0.33,1.46,0.24,1.27,3.77,1.21,3.78
100,1.91,0.33,1.46,0.24,1.26,3.76,1.19,3.76
101,1.9,0.33,1.45,0.24,1.26,3.77,1.19,3.77
102,1.9,0.33,1.47,0.24,1.29,3.77,1.24,3.75
103,1.9,0.33,1.45,0.24,1.28,3.77,1.21,3.77
104,1.89,0.33,1.46,0.24,1.26,3.77,1.18,3.76
105,1.89,0.33,1.46,0.24,1.28,3.78,1.22,3.78
106,1.88,0.33,1.46,0.24,1.28,3.78,1.22,3.78
107,1.88,0.33,1.46,0.24,1.29,3.77,1.24,3.79
108,1.88,0.33,1.46,0.24,1.3,3.78,1.24,3.8
109,1.88,0.33,1.46,0.24,1.28,3.78,1.22,3.78
110,1.87,0.33,1.46,0.24,1.27,3.75,1.21,3.77
111,1.87,0.33,1.47,0.24,1.26,3.75,1.21,3.77
112,1.87,0.33,1.46,0.24,1.26,3.76,1.2,3.76
113,1.86,0.33,1.46,0.24,1.28,3.75,1.22,3.76
114,1.86,0.33,1.46,0.24,1.28,3.77,1.24,3.77
115,1.85,0.33,1.46,0.24,1.27,3.75,1.22,3.75
116,1.85,0.33,1.47,0.24,1.27,3.76,1.21,3.78
117,1.85,0.33,1.45,0.24,1.28,3.76,1.22,3.77
118,1.84,0.32,1.47,0.24,1.28,3.75,1.22,3.74
119,1.84,0.32,1.46,0.24,1.28,3.75,1.22,3.77
120,1.83,0.32,1.48,0.24,1.3,3.75,1.25,3.75
121,1.83,0.32,1.46,0.24,1.27,3.75,1.21,3.76
122,1.82,0.32,1.48,0.24,1.29,3.75,1.23,3.73
123,1.82,0.32,1.48,0.24,1.29,3.76,1.25,3.79
124,1.82,0.32,1.47,0.24,1.29,3.77,1.23,3.79
125,1.81,0.32,1.48,0.24,1.3,3.77,1.26,3.77
126,1.81,0.32,1.46,0.24,1.28,3.74,1.22,3.75
127,1.81,0.32,1.48,0.24,1.3,3.76,1.24,3.76
128,1.8,0.32,1.48,0.24,1.29,3.76,1.24,3.75
129,1.8,0.32,1.48,0.24,1.29,3.77,1.25,3.79
130,1.8,0.32,1.48,0.24,1.3,3.76,1.26,3.76
