epoch,loss,val_loss,errCntAvg,uniqIdx,norm
10,0.19,0.18,1.48,1,1.48265625
20,0.18,0.18,3.18,8,3.1829687500000001
30,0.18,0.18,3.31,17,3.3137500000000002
40,0.18,0.17,3.49,14,3.4893749999999999
50,0.18,0.17,3.68,15,3.6823437499999998
60,0.18,0.17,3.68,14,3.6842187499999999
70,0.18,0.17,3.75,15,3.7503125000000002
80,0.17,0.17,3.74,13,3.7374999999999998
90,0.17,0.17,3.72,10,3.7190625000000002
100,0.17,0.17,3.68,8,3.6804687500000002
