epoch,loss1,loss12,val_loss1,val_loss12,errCntAvg1,errCntAvg12,uniqIdx1,uniqIdx12,norm1,norm12
10,567.33,0.22,566.36,0.21,3.31,1.48,45,1,3.3123437500000001,1.48265625
20,566.42,0.19,566.34,0.18,3.35,3.72,42,8,3.3548437500000001,3.7242187499999999
30,566.36,0.18,566.33,0.18,3.37,4.16,44,6,3.3746874999999998,4.1620312500000001
40,566.35,0.18,566.33,0.18,3.3,3.79,42,10,3.30078125,3.7945312499999999
50,566.34,0.18,566.33,0.17,3.32,4.14,44,6,3.3210156249999998,4.13765625
60,566.34,0.18,566.33,0.17,3.25,4.05,45,10,3.2468750000000002,4.0476562500000002
70,566.34,0.18,566.33,0.17,3.46,4.43,44,8,3.46390625,4.4314062500000002
80,566.33,0.18,566.33,0.17,3.29,4.03,43,9,3.2879687500000001,4.0267187499999997
90,566.33,0.18,566.33,0.17,3.78,4.03,45,10,3.7751562500000002,4.0276562499999997
100,566.33,0.18,566.33,0.17,3.91,4.01,45,8,3.9121874999999999,4.0101562499999996
