epoch,loss1,loss12,val_loss1,val_loss12,errCntAvg1,errCntAvg12,uniqIdx1,uniqIdx12,norm1,norm12
10,567.14,0.23,566.35,0.22,3.29,1.48,46,1,3.2850000000000001,1.48265625
20,566.41,0.19,566.33,0.18,3.31,3.49,45,13,3.3108593750000002,3.4942187499999999
30,566.35,0.18,566.33,0.18,3.7,3.71,46,6,3.7042187499999999,3.7142187500000001
40,566.34,0.18,566.33,0.17,3.35,4.19,46,2,3.3503124999999998,4.1885937499999999
50,566.34,0.18,566.33,0.17,3.46,4.3,44,3,3.4582812500000002,4.3014062500000003
60,566.33,0.18,566.33,0.17,3.45,4.3,45,3,3.4470312500000002,4.2989062499999999
70,566.33,0.18,566.33,0.17,3.61,4.42,43,3,3.6057812500000002,4.4239062499999999
80,566.33,0.18,566.33,0.17,3.61,4.46,46,3,3.6114062499999999,4.4589062500000001
90,566.33,0.18,566.33,0.17,3.41,3.89,44,4,3.4096875,3.8939062500000001
100,566.33,0.18,566.33,0.17,3.25,3.93,46,5,3.2507812500000002,3.9251562500000001
