epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.42,0.66,2.3,0.48,1.48,3.74,1.47,3.72
2,3.67,0.53,2.98,0.45,2.95,3.92,2.93,3.92
3,3.18,0.49,3.28,0.39,3.0,3.8,2.94,3.8
4,2.92,0.45,2.44,0.36,1.48,3.67,1.46,3.66
5,2.73,0.43,2.05,0.34,1.4,3.42,1.41,3.39
6,2.68,0.42,1.99,0.34,1.34,3.73,1.3,3.76
7,2.54,0.42,1.95,0.36,1.42,3.71,1.35,3.69
8,2.44,0.41,1.8,0.33,1.49,3.43,1.49,3.37
9,2.38,0.41,1.83,0.3,1.41,3.53,1.37,3.46
10,2.39,0.39,1.88,0.3,1.4,3.75,1.37,3.73
11,2.33,0.39,1.73,0.28,1.4,3.83,1.38,3.82
12,2.33,0.39,1.72,0.28,1.39,3.91,1.36,3.93
13,2.29,0.38,1.76,0.28,1.44,3.82,1.42,3.82
14,2.28,0.38,1.69,0.28,1.44,3.81,1.4,3.81
15,2.25,0.38,1.67,0.27,1.36,3.73,1.34,3.71
16,2.24,0.37,1.66,0.27,1.42,3.78,1.38,3.77
17,2.22,0.37,1.66,0.27,1.34,3.74,1.29,3.73
18,2.21,0.37,1.63,0.27,1.41,3.77,1.37,3.77
19,2.19,0.36,1.62,0.27,1.37,3.77,1.34,3.76
20,2.18,0.36,1.61,0.27,1.4,3.84,1.34,3.85
21,2.17,0.36,1.59,0.26,1.31,3.81,1.28,3.81
22,2.15,0.36,1.59,0.26,1.37,3.87,1.34,3.89
23,2.14,0.36,1.57,0.26,1.34,3.81,1.31,3.83
24,2.12,0.36,1.56,0.26,1.33,3.83,1.27,3.85
25,2.11,0.36,1.54,0.26,1.31,3.79,1.26,3.8
26,2.1,0.35,1.54,0.26,1.36,3.81,1.31,3.84
27,2.09,0.35,1.52,0.26,1.28,3.74,1.21,3.75
28,2.08,0.35,1.53,0.26,1.37,3.83,1.32,3.85
29,2.07,0.35,1.51,0.25,1.31,3.75,1.27,3.75
30,2.07,0.35,1.52,0.25,1.34,3.8,1.29,3.81
31,2.05,0.35,1.51,0.26,1.32,3.74,1.26,3.75
32,2.04,0.35,1.5,0.25,1.33,3.74,1.25,3.75
33,2.03,0.35,1.5,0.25,1.32,3.73,1.25,3.72
34,2.03,0.35,1.5,0.25,1.31,3.74,1.23,3.75
35,2.01,0.35,1.5,0.25,1.32,3.75,1.25,3.75
36,2.0,0.34,1.5,0.25,1.3,3.76,1.26,3.75
37,1.99,0.34,1.49,0.25,1.32,3.76,1.23,3.75
38,1.98,0.34,1.47,0.25,1.28,3.73,1.21,3.72
39,1.97,0.34,1.5,0.25,1.33,3.79,1.28,3.79
40,1.97,0.34,1.48,0.24,1.27,3.71,1.21,3.68
41,1.97,0.34,1.51,0.25,1.35,3.77,1.29,3.78
42,1.96,0.34,1.47,0.24,1.26,3.73,1.19,3.72
43,1.95,0.34,1.48,0.24,1.35,3.78,1.27,3.75
44,1.94,0.34,1.47,0.24,1.3,3.76,1.26,3.75
45,1.93,0.34,1.48,0.24,1.33,3.78,1.29,3.78
46,1.92,0.34,1.47,0.25,1.28,3.76,1.2,3.75
47,1.91,0.34,1.47,0.24,1.29,3.75,1.23,3.74
48,1.9,0.34,1.46,0.24,1.28,3.78,1.21,3.76
49,1.9,0.34,1.46,0.24,1.33,3.78,1.27,3.78
50,1.89,0.34,1.48,0.24,1.3,3.8,1.24,3.77
51,1.88,0.33,1.48,0.24,1.31,3.75,1.26,3.74
52,1.87,0.33,1.45,0.24,1.3,3.77,1.23,3.75
53,1.86,0.33,1.52,0.25,1.3,3.74,1.24,3.74
54,1.87,0.33,1.46,0.24,1.31,3.75,1.28,3.75
55,1.86,0.33,1.47,0.24,1.33,3.77,1.3,3.77
56,1.84,0.33,1.49,0.25,1.31,3.77,1.26,3.75
57,1.83,0.33,1.47,0.24,1.34,3.79,1.3,3.78
58,1.82,0.33,1.48,0.24,1.34,3.76,1.29,3.76
59,1.81,0.33,1.48,0.24,1.3,3.78,1.26,3.78
60,1.79,0.33,1.48,0.24,1.33,3.78,1.28,3.8
61,1.78,0.33,1.5,0.24,1.34,3.8,1.28,3.81
62,1.76,0.33,1.51,0.25,1.35,3.79,1.31,3.8
63,1.75,0.33,1.51,0.24,1.35,3.77,1.29,3.77
64,1.74,0.33,1.49,0.24,1.31,3.78,1.26,3.76
65,1.75,0.33,1.48,0.24,1.29,3.77,1.24,3.8
66,1.74,0.33,1.49,0.24,1.33,3.76,1.28,3.76
67,1.73,0.33,1.49,0.25,1.35,3.79,1.34,3.81
68,1.71,0.32,1.51,0.24,1.31,3.77,1.27,3.78
69,1.69,0.32,1.5,0.25,1.37,3.79,1.33,3.8
70,1.68,0.32,1.53,0.24,1.35,3.78,1.31,3.76
71,1.66,0.32,1.51,0.25,1.34,3.79,1.31,3.8
72,1.65,0.32,1.53,0.24,1.33,3.79,1.29,3.79
73,1.63,0.32,1.53,0.25,1.36,3.79,1.29,3.78
74,1.62,0.32,1.53,0.24,1.34,3.77,1.3,3.76
75,1.61,0.32,1.51,0.24,1.32,3.79,1.29,3.79
76,1.59,0.32,1.56,0.25,1.34,3.78,1.28,3.8
77,1.58,0.32,1.54,0.25,1.33,3.79,1.28,3.81
78,1.56,0.31,1.54,0.25,1.33,3.78,1.28,3.81
79,1.55,0.31,1.54,0.25,1.3,3.8,1.26,3.82
80,1.55,0.31,1.57,0.25,1.36,3.8,1.32,3.81
81,1.53,0.31,1.55,0.25,1.33,3.79,1.29,3.8
82,1.51,0.31,1.58,0.25,1.34,3.79,1.31,3.79
83,1.5,0.31,1.55,0.25,1.31,3.79,1.26,3.8
84,1.48,0.31,1.56,0.25,1.34,3.81,1.31,3.82
85,1.47,0.31,1.6,0.25,1.33,3.79,1.29,3.8
86,1.44,0.31,1.6,0.25,1.34,3.79,1.31,3.78
87,1.43,0.31,1.63,0.25,1.36,3.8,1.32,3.8
88,1.41,0.3,1.6,0.25,1.32,3.8,1.26,3.79
89,1.39,0.3,1.62,0.25,1.3,3.81,1.23,3.82
90,1.37,0.3,1.58,0.25,1.31,3.8,1.27,3.81
91,1.36,0.3,1.62,0.25,1.3,3.8,1.25,3.83
92,1.35,0.3,1.63,0.25,1.32,3.81,1.27,3.83
93,1.35,0.3,1.63,0.25,1.3,3.81,1.24,3.82
94,1.33,0.3,1.68,0.25,1.34,3.8,1.31,3.81
95,1.31,0.3,1.62,0.25,1.33,3.79,1.26,3.79
96,1.3,0.3,1.66,0.25,1.34,3.79,1.28,3.79
97,1.3,0.3,1.64,0.25,1.32,3.79,1.25,3.8
98,1.28,0.3,1.63,0.25,1.33,3.8,1.25,3.79
99,1.27,0.29,1.69,0.25,1.31,3.78,1.27,3.78
100,1.25,0.29,1.7,0.25,1.31,3.81,1.24,3.83
101,1.23,0.29,1.65,0.25,1.37,3.82,1.33,3.81
102,1.22,0.29,1.68,0.25,1.3,3.8,1.28,3.83
103,1.19,0.29,1.68,0.25,1.3,3.82,1.25,3.84
104,1.17,0.29,1.73,0.25,1.34,3.81,1.31,3.82
105,1.15,0.28,1.73,0.25,1.33,3.77,1.29,3.8
106,1.14,0.28,1.78,0.25,1.34,3.81,1.3,3.83
107,1.11,0.28,1.74,0.26,1.33,3.8,1.29,3.81
108,1.11,0.28,1.73,0.26,1.33,3.78,1.29,3.79
109,1.08,0.28,1.74,0.26,1.33,3.81,1.28,3.81
110,1.06,0.28,1.79,0.26,1.32,3.82,1.28,3.83
111,1.05,0.27,1.77,0.26,1.33,3.79,1.31,3.78
112,1.03,0.27,1.81,0.26,1.34,3.8,1.31,3.85
113,1.02,0.27,1.82,0.26,1.35,3.8,1.31,3.79
114,1.01,0.27,1.82,0.26,1.35,3.8,1.32,3.79
115,1.0,0.27,1.82,0.26,1.31,3.8,1.27,3.82
116,0.99,0.27,1.83,0.26,1.34,3.81,1.29,3.84
117,0.98,0.27,1.81,0.26,1.34,3.81,1.31,3.83
118,0.97,0.27,1.83,0.26,1.33,3.79,1.32,3.82
