epoch,loss,val_loss,errCntAvg,uniqIdx,norm
116,0.18,0.17,4.29,8,4.2918750000000001
117,0.18,0.17,4.29,8,4.2918750000000001
118,0.18,0.17,4.29,8,4.2918750000000001
119,0.18,0.17,4.29,8,4.2918750000000001
120,0.18,0.17,4.29,8,4.2918750000000001
5,0.18,0.17,4.28,5,4.2785937499999998
122,0.18,0.17,4.28,5,4.2785937499999998
123,0.18,0.17,4.28,5,4.2785937499999998
124,0.18,0.17,4.28,5,4.2785937499999998
125,0.18,0.17,4.28,5,4.2785937499999998
126,0.18,0.17,4.28,5,4.2785937499999998
127,0.18,0.17,4.28,5,4.2785937499999998
128,0.18,0.17,4.28,5,4.2785937499999998
129,0.18,0.17,4.28,5,4.2785937499999998
130,0.18,0.17,4.28,5,4.2785937499999998
131,0.18,0.17,4.28,5,4.2785937499999998
132,0.18,0.17,4.28,5,4.2785937499999998
133,0.18,0.17,4.28,5,4.2785937499999998
134,0.18,0.17,4.28,5,4.2785937499999998
135,0.18,0.17,4.28,5,4.2785937499999998
136,0.18,0.17,4.28,5,4.2785937499999998
137,0.18,0.17,4.28,5,4.2785937499999998
138,0.18,0.17,4.28,5,4.2785937499999998
139,0.18,0.17,4.28,5,4.2785937499999998
140,0.18,0.17,4.28,5,4.2785937499999998
5,0.18,0.17,4.26,7,4.2629687499999998
142,0.18,0.17,4.26,7,4.2629687499999998
143,0.18,0.17,4.26,7,4.2629687499999998
144,0.18,0.17,4.26,7,4.2629687499999998
145,0.18,0.17,4.26,7,4.2629687499999998
146,0.18,0.17,4.26,7,4.2629687499999998
147,0.18,0.17,4.26,7,4.2629687499999998
148,0.18,0.17,4.26,7,4.2629687499999998
149,0.18,0.17,4.26,7,4.2629687499999998
150,0.18,0.17,4.26,7,4.2629687499999998
151,0.18,0.17,4.26,7,4.2629687499999998
152,0.18,0.17,4.26,7,4.2629687499999998
153,0.18,0.17,4.26,7,4.2629687499999998
154,0.18,0.17,4.26,7,4.2629687499999998
155,0.18,0.17,4.26,7,4.2629687499999998
156,0.18,0.17,4.26,7,4.2629687499999998
157,0.18,0.17,4.26,7,4.2629687499999998
158,0.18,0.17,4.26,7,4.2629687499999998
159,0.18,0.17,4.26,7,4.2629687499999998
160,0.18,0.17,4.26,7,4.2629687499999998
5,0.18,0.17,4.3,10,4.3045312500000001
162,0.18,0.17,4.3,10,4.3045312500000001
163,0.18,0.17,4.3,10,4.3045312500000001
164,0.18,0.17,4.3,10,4.3045312500000001
165,0.18,0.17,4.3,10,4.3045312500000001
166,0.18,0.17,4.3,10,4.3045312500000001
167,0.18,0.17,4.3,10,4.3045312500000001
168,0.18,0.17,4.3,10,4.3045312500000001
169,0.18,0.17,4.3,10,4.3045312500000001
170,0.17,0.17,4.3,10,4.3045312500000001
171,0.17,0.17,4.3,10,4.3045312500000001
172,0.17,0.17,4.3,10,4.3045312500000001
173,0.17,0.17,4.3,10,4.3045312500000001
174,0.17,0.17,4.3,10,4.3045312500000001
175,0.17,0.17,4.3,10,4.3045312500000001
176,0.17,0.17,4.3,10,4.3045312500000001
177,0.17,0.17,4.3,10,4.3045312500000001
178,0.17,0.17,4.3,10,4.3045312500000001
179,0.17,0.17,4.3,10,4.3045312500000001
180,0.17,0.17,4.3,10,4.3045312500000001
5,0.17,0.17,4.3,9,4.3020312499999998
182,0.17,0.17,4.3,9,4.3020312499999998
183,0.17,0.17,4.3,9,4.3020312499999998
184,0.17,0.17,4.3,9,4.3020312499999998
185,0.17,0.17,4.3,9,4.3020312499999998
186,0.17,0.17,4.3,9,4.3020312499999998
187,0.17,0.17,4.3,9,4.3020312499999998
188,0.17,0.17,4.3,9,4.3020312499999998
189,0.17,0.17,4.3,9,4.3020312499999998
190,0.17,0.17,4.3,9,4.3020312499999998
191,0.17,0.17,4.3,9,4.3020312499999998
192,0.17,0.17,4.3,9,4.3020312499999998
193,0.17,0.17,4.3,9,4.3020312499999998
194,0.17,0.17,4.3,9,4.3020312499999998
195,0.17,0.17,4.3,9,4.3020312499999998
196,0.17,0.17,4.3,9,4.3020312499999998
197,0.17,0.17,4.3,9,4.3020312499999998
198,0.17,0.17,4.3,9,4.3020312499999998
199,0.17,0.17,4.3,9,4.3020312499999998
200,0.17,0.17,4.3,9,4.3020312499999998
