epoch,loss1,loss12,val_loss1,val_loss12,errCntAvg1,errCntAvg12,uniqIdx1,uniqIdx12,norm1,norm12
10,566.91,0.33,566.36,0.34,3.32,1.48,42,1,3.32421875,1.48265625
20,566.43,0.19,566.34,0.18,3.24,1.48,45,1,3.2425000000000002,1.48265625
30,566.36,0.19,566.33,0.18,3.31,1.48,42,1,3.3071874999999999,1.48265625
40,566.34,0.18,566.33,0.18,3.34,3.81,45,5,3.3357812500000001,3.8082812499999998
50,566.34,0.18,566.33,0.18,3.67,3.82,43,10,3.6668750000000001,3.8185937499999998
60,566.33,0.18,566.33,0.18,3.25,4.25,45,13,3.2487499999999998,4.2489062500000001
70,566.33,0.18,566.33,0.18,3.43,4.29,45,10,3.4342187499999999,4.2910937499999999
80,566.33,0.18,566.33,0.18,3.34,4.38,45,9,3.3379687499999999,4.3770312499999999
90,566.33,0.18,566.33,0.18,3.26,3.95,44,9,3.2629687500000002,3.9489062499999998
100,566.33,0.18,566.33,0.17,3.34,4.29,44,11,3.3353125000000001,4.2864062499999998
