epoch,loss,val_loss,errCntAvg
21,0.5,0.52,2.99
41,0.47,0.54,2.73
61,0.47,0.52,2.83
81,0.45,0.53,2.62
101,0.44,0.54,3.04
121,0.44,0.54,2.79
141,0.44,0.52,2.77
161,0.43,0.55,2.86
181,0.43,0.54,2.92
201,0.43,0.56,2.91
