epoch,loss,val_loss,errCntAvg
5,2.38,2.25,2.88
10,2.17,2.14,2.88
15,2.11,2.09,2.88
20,2.07,2.05,2.88
25,2.06,2.04,2.88
30,2.04,2.01,2.88
35,2.03,2.01,2.88
40,2.01,2.0,2.88
45,2.01,2.0,2.88
50,2.0,1.99,2.88
