epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.8,0.7,4.67,0.7,3.81,3.7,3.81,3.71
2,4.64,0.7,4.39,0.7,1.95,3.79,1.81,3.77
3,4.43,0.7,3.98,0.7,1.52,3.79,1.45,3.75
4,4.04,0.71,3.16,0.7,1.49,3.84,1.46,3.86
5,3.34,0.75,2.55,0.71,1.48,3.93,1.47,3.91
6,3.12,0.8,2.3,0.71,1.35,3.47,1.32,3.47
7,3.0,0.82,2.15,0.72,1.58,3.4,1.58,3.4
8,2.82,0.82,1.96,0.72,1.62,3.55,1.6,3.54
9,2.7,0.84,1.88,0.71,1.56,3.61,1.53,3.6
10,2.65,0.84,1.84,0.71,1.54,3.58,1.56,3.61
11,2.61,0.83,1.83,0.71,1.53,3.67,1.51,3.69
12,2.58,0.82,1.79,0.7,1.5,3.71,1.5,3.71
13,2.86,0.82,1.78,0.7,1.55,3.58,1.56,3.59
14,2.58,0.78,1.79,0.7,1.5,3.51,1.5,3.49
15,2.57,0.78,1.85,0.72,1.46,3.51,1.4,3.5
16,2.54,0.79,1.83,0.72,1.45,3.57,1.39,3.59
17,2.5,0.79,1.73,0.7,1.46,3.65,1.41,3.65
18,2.48,0.78,1.72,0.7,1.46,3.68,1.42,3.7
19,2.46,0.78,1.72,0.7,1.45,3.69,1.42,3.68
20,2.44,0.78,1.72,0.7,1.44,3.69,1.42,3.7
21,2.43,0.78,1.7,0.69,1.43,3.68,1.41,3.69
22,2.41,0.78,1.7,0.69,1.43,3.67,1.39,3.68
23,2.4,0.77,1.69,0.69,1.43,3.64,1.38,3.62
24,2.39,0.77,1.7,0.69,1.44,3.62,1.38,3.57
25,2.38,0.77,1.69,0.69,1.43,3.6,1.38,3.56
26,2.37,0.77,1.68,0.69,1.41,3.6,1.37,3.56
27,2.36,0.76,1.69,0.69,1.41,3.6,1.35,3.57
28,2.35,0.76,1.68,0.68,1.43,3.59,1.37,3.55
29,2.34,0.76,1.67,0.68,1.42,3.61,1.36,3.55
30,2.33,0.76,1.68,0.69,1.4,3.63,1.36,3.56
31,2.33,0.76,1.66,0.68,1.41,3.63,1.35,3.59
32,2.32,0.76,1.66,0.68,1.4,3.64,1.35,3.6
33,2.31,0.76,1.66,0.68,1.39,3.65,1.34,3.61
34,2.3,0.76,1.65,0.68,1.4,3.65,1.36,3.62
35,2.3,0.76,1.65,0.68,1.39,3.66,1.34,3.64
36,2.29,0.76,1.65,0.68,1.39,3.67,1.34,3.67
37,2.29,0.76,1.64,0.68,1.4,3.69,1.36,3.67
38,2.28,0.76,1.64,0.68,1.38,3.68,1.33,3.68
39,2.27,0.76,1.64,0.69,1.43,3.7,1.36,3.7
40,2.27,0.76,1.62,0.68,1.4,3.7,1.34,3.71
41,2.26,0.76,1.63,0.69,1.39,3.72,1.33,3.71
42,2.26,0.76,1.62,0.69,1.41,3.72,1.35,3.7
43,2.25,0.76,1.62,0.69,1.42,3.72,1.36,3.7
44,2.25,0.77,1.62,0.69,1.4,3.73,1.34,3.73
45,2.24,0.76,1.6,0.69,1.4,3.76,1.34,3.73
46,2.24,0.76,1.61,0.69,1.39,3.75,1.33,3.74
47,2.23,0.76,1.6,0.69,1.42,3.75,1.35,3.72
48,2.23,0.76,1.6,0.69,1.38,3.75,1.31,3.74
49,2.22,0.77,1.6,0.69,1.41,3.73,1.34,3.72
50,2.22,0.76,1.59,0.69,1.39,3.72,1.32,3.7
51,2.22,0.77,1.6,0.69,1.37,3.73,1.3,3.73
52,2.23,0.77,1.6,0.69,1.38,3.71,1.31,3.7
53,2.22,0.77,1.64,0.7,1.42,3.72,1.37,3.72
54,2.21,0.77,1.58,0.69,1.36,3.73,1.31,3.74
55,2.21,0.77,1.58,0.69,1.37,3.73,1.29,3.73
56,2.2,0.76,1.58,0.69,1.38,3.73,1.3,3.72
57,2.19,0.77,1.58,0.69,1.36,3.72,1.27,3.75
58,2.18,0.77,1.58,0.69,1.38,3.74,1.3,3.75
59,2.18,0.77,1.57,0.69,1.37,3.73,1.3,3.75
60,2.17,0.77,1.58,0.69,1.38,3.74,1.29,3.73
61,2.17,0.77,1.56,0.69,1.35,3.74,1.29,3.73
62,2.17,0.77,1.56,0.69,1.37,3.74,1.3,3.73
63,2.16,0.77,1.56,0.69,1.38,3.74,1.3,3.73
64,2.16,0.77,1.55,0.69,1.36,3.74,1.29,3.74
65,2.15,0.77,1.55,0.69,1.37,3.74,1.3,3.74
66,2.15,0.77,1.54,0.69,1.34,3.75,1.27,3.74
67,2.15,0.77,1.54,0.69,1.35,3.75,1.28,3.75
68,2.15,0.77,1.54,0.69,1.36,3.75,1.28,3.76
69,2.15,0.78,1.54,0.7,1.35,3.72,1.28,3.72
70,2.14,0.78,1.54,0.7,1.36,3.73,1.28,3.74
71,2.14,0.77,1.53,0.7,1.33,3.73,1.26,3.73
72,2.13,0.78,1.54,0.7,1.36,3.72,1.26,3.74
73,2.13,0.78,1.53,0.7,1.35,3.74,1.29,3.74
74,2.13,0.78,1.53,0.7,1.35,3.73,1.28,3.73
75,2.12,0.78,1.53,0.7,1.37,3.71,1.29,3.75
76,2.12,0.78,1.52,0.7,1.34,3.74,1.27,3.76
77,2.12,0.78,1.53,0.7,1.36,3.72,1.29,3.74
78,2.12,0.78,1.53,0.7,1.34,3.73,1.28,3.75
79,2.11,0.78,1.52,0.69,1.34,3.74,1.28,3.76
80,2.11,0.78,1.53,0.7,1.35,3.74,1.29,3.74
81,2.11,0.78,1.51,0.69,1.33,3.74,1.27,3.76
82,2.11,0.78,1.52,0.69,1.33,3.75,1.26,3.78
83,2.1,0.78,1.51,0.69,1.33,3.75,1.27,3.77
84,2.1,0.78,1.51,0.69,1.34,3.75,1.28,3.79
85,2.1,0.78,1.52,0.69,1.35,3.73,1.29,3.76
86,2.1,0.78,1.51,0.7,1.33,3.72,1.27,3.75
87,2.09,0.78,1.51,0.69,1.34,3.75,1.28,3.79
88,2.09,0.78,1.52,0.69,1.33,3.74,1.28,3.77
89,2.09,0.78,1.51,0.69,1.34,3.74,1.3,3.77
90,2.08,0.78,1.51,0.7,1.33,3.75,1.28,3.78
91,2.08,0.78,1.5,0.7,1.32,3.76,1.27,3.77
92,2.08,0.78,1.51,0.7,1.33,3.77,1.28,3.79
93,2.08,0.78,1.5,0.69,1.33,3.77,1.27,3.79
94,2.09,0.78,1.51,0.69,1.33,3.76,1.26,3.79
95,2.08,0.78,1.51,0.7,1.31,3.75,1.26,3.78
96,2.08,0.78,1.51,0.7,1.33,3.75,1.27,3.8
97,2.08,0.78,1.5,0.7,1.32,3.76,1.26,3.79
98,2.07,0.78,1.51,0.7,1.33,3.75,1.28,3.79
99,2.07,0.78,1.5,0.7,1.33,3.75,1.27,3.79
100,2.07,0.78,1.49,0.7,1.32,3.77,1.25,3.79
101,2.06,0.78,1.49,0.7,1.33,3.77,1.28,3.77
102,2.06,0.78,1.48,0.7,1.31,3.77,1.25,3.82
103,2.06,0.78,1.51,0.7,1.33,3.76,1.28,3.78
104,2.06,0.78,1.48,0.7,1.31,3.78,1.24,3.81
105,2.06,0.78,1.5,0.7,1.33,3.77,1.28,3.81
106,2.05,0.79,1.48,0.7,1.31,3.78,1.25,3.79
107,2.05,0.78,1.48,0.7,1.33,3.78,1.27,3.82
108,2.05,0.78,1.49,0.7,1.31,3.78,1.25,3.79
109,2.05,0.79,1.48,0.7,1.31,3.78,1.25,3.78
110,2.04,0.79,1.49,0.7,1.33,3.76,1.27,3.77
111,2.04,0.79,1.49,0.7,1.31,3.77,1.24,3.76
112,2.04,0.79,1.48,0.7,1.31,3.78,1.24,3.79
113,2.04,0.79,1.49,0.7,1.31,3.78,1.25,3.77
114,2.03,0.79,1.48,0.7,1.3,3.78,1.23,3.78
115,2.03,0.79,1.5,0.7,1.31,3.77,1.25,3.79
116,2.03,0.79,1.47,0.7,1.3,3.76,1.23,3.76
117,2.03,0.79,1.49,0.7,1.32,3.75,1.25,3.75
118,2.03,0.79,1.49,0.7,1.3,3.76,1.24,3.76
119,2.02,0.79,1.48,0.7,1.3,3.77,1.24,3.77
120,2.02,0.79,1.49,0.7,1.3,3.77,1.23,3.75
121,2.02,0.79,1.48,0.7,1.3,3.76,1.25,3.77
122,2.02,0.79,1.48,0.7,1.31,3.77,1.24,3.76
123,2.02,0.79,1.49,0.7,1.29,3.76,1.22,3.77
124,2.01,0.79,1.48,0.7,1.32,3.78,1.24,3.79
125,2.01,0.79,1.49,0.7,1.3,3.76,1.24,3.77
126,2.01,0.79,1.47,0.7,1.3,3.77,1.23,3.75
127,2.01,0.79,1.49,0.7,1.29,3.77,1.23,3.76
128,2.01,0.79,1.49,0.7,1.3,3.78,1.22,3.76
129,2.0,0.79,1.48,0.71,1.3,3.77,1.22,3.77
130,2.0,0.79,1.49,0.71,1.3,3.77,1.23,3.77
131,2.0,0.8,1.48,0.71,1.3,3.79,1.22,3.78
132,2.0,0.8,1.49,0.7,1.31,3.77,1.23,3.77
133,2.0,0.79,1.5,0.71,1.31,3.76,1.24,3.76
134,2.0,0.79,1.49,0.71,1.29,3.77,1.22,3.79
135,2.0,0.8,1.48,0.71,1.28,3.79,1.21,3.79
136,2.0,0.8,1.52,0.71,1.33,3.75,1.27,3.77
137,1.99,0.8,1.48,0.71,1.28,3.78,1.23,3.82
138,1.99,0.8,1.49,0.71,1.29,3.8,1.22,3.81
139,1.99,0.8,1.5,0.71,1.34,3.77,1.27,3.78
140,1.99,0.8,1.49,0.71,1.29,3.78,1.23,3.8
141,1.98,0.8,1.5,0.71,1.31,3.78,1.26,3.79
142,1.98,0.8,1.51,0.71,1.3,3.78,1.25,3.78
143,1.98,0.8,1.49,0.71,1.29,3.77,1.23,3.79
144,1.98,0.8,1.49,0.71,1.28,3.77,1.23,3.78
145,1.98,0.8,1.5,0.71,1.29,3.79,1.24,3.81
146,1.97,0.8,1.48,0.71,1.28,3.79,1.23,3.79
147,1.97,0.8,1.5,0.72,1.3,3.78,1.24,3.79
148,1.97,0.8,1.48,0.71,1.26,3.81,1.2,3.83
149,1.97,0.79,1.5,0.72,1.29,3.79,1.24,3.8
150,1.97,0.8,1.49,0.71,1.26,3.8,1.23,3.83
151,1.96,0.8,1.49,0.71,1.28,3.79,1.23,3.79
152,1.96,0.8,1.5,0.71,1.29,3.8,1.25,3.8
153,1.96,0.8,1.48,0.71,1.28,3.79,1.23,3.81
154,1.95,0.8,1.5,0.71,1.29,3.77,1.24,3.77
155,1.95,0.8,1.5,0.71,1.29,3.78,1.23,3.8
156,1.95,0.8,1.49,0.72,1.27,3.79,1.21,3.81
157,1.95,0.81,1.5,0.72,1.29,3.76,1.22,3.78
158,1.96,0.8,1.51,0.72,1.31,3.78,1.25,3.79
159,1.95,0.81,1.51,0.72,1.29,3.77,1.24,3.76
160,1.94,0.8,1.49,0.72,1.28,3.8,1.22,3.8
161,1.94,0.81,1.5,0.72,1.29,3.77,1.24,3.77
162,1.94,0.8,1.52,0.72,1.29,3.78,1.24,3.81
163,1.94,0.8,1.5,0.72,1.31,3.77,1.24,3.77
164,1.94,0.8,1.5,0.72,1.28,3.79,1.22,3.81
165,1.93,0.8,1.5,0.72,1.28,3.78,1.22,3.8
166,1.93,0.8,1.51,0.72,1.32,3.75,1.27,3.73
167,1.93,0.81,1.51,0.72,1.29,3.77,1.24,3.76
168,1.93,0.8,1.5,0.72,1.28,3.78,1.22,3.79
169,1.92,0.81,1.51,0.72,1.3,3.77,1.25,3.75
170,1.92,0.81,1.52,0.72,1.3,3.8,1.24,3.8
171,1.92,0.8,1.51,0.72,1.28,3.78,1.25,3.77
172,1.92,0.81,1.49,0.72,1.29,3.78,1.23,3.79
173,1.92,0.8,1.53,0.72,1.34,3.75,1.27,3.74
174,1.92,0.81,1.51,0.72,1.31,3.76,1.26,3.76
175,1.92,0.8,1.51,0.72,1.29,3.81,1.23,3.83
176,1.92,0.8,1.52,0.72,1.31,3.77,1.24,3.78
177,1.91,0.81,1.5,0.72,1.32,3.77,1.27,3.76
178,1.91,0.8,1.51,0.72,1.29,3.79,1.24,3.8
179,1.91,0.81,1.51,0.72,1.29,3.77,1.23,3.78
180,1.91,0.8,1.52,0.72,1.33,3.77,1.28,3.76
181,1.9,0.8,1.51,0.72,1.3,3.77,1.26,3.77
182,1.9,0.81,1.51,0.72,1.29,3.78,1.23,3.77
183,1.9,0.81,1.51,0.72,1.28,3.79,1.23,3.82
184,1.9,0.81,1.53,0.72,1.34,3.75,1.28,3.75
185,1.89,0.81,1.51,0.72,1.31,3.77,1.26,3.78
186,1.89,0.81,1.52,0.72,1.3,3.78,1.23,3.79
187,1.89,0.81,1.52,0.72,1.31,3.78,1.25,3.76
188,1.89,0.81,1.52,0.72,1.31,3.75,1.25,3.75
189,1.89,0.81,1.52,0.72,1.3,3.77,1.23,3.76
190,1.88,0.81,1.51,0.73,1.3,3.79,1.24,3.82
191,1.88,0.81,1.53,0.72,1.33,3.78,1.28,3.82
192,1.88,0.81,1.53,0.72,1.31,3.77,1.25,3.77
193,1.88,0.81,1.53,0.72,1.31,3.76,1.26,3.78
194,1.88,0.81,1.53,0.72,1.32,3.75,1.28,3.76
195,1.89,0.8,1.51,0.72,1.33,3.75,1.28,3.74
196,1.89,0.8,1.52,0.72,1.31,3.75,1.26,3.76
197,1.88,0.8,1.53,0.72,1.32,3.78,1.26,3.76
198,1.88,0.8,1.51,0.72,1.31,3.75,1.26,3.76
199,1.87,0.81,1.52,0.73,1.3,3.78,1.25,3.79
200,1.87,0.81,1.53,0.72,1.32,3.78,1.26,3.78
