epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.82,0.68,4.84,0.64,4.39,3.75,4.26,3.79
2,4.82,0.64,4.84,0.58,4.47,3.87,4.49,3.89
3,4.83,0.59,4.86,0.5,4.6,3.95,4.69,3.94
4,4.86,0.51,4.9,0.38,4.86,3.96,4.9,3.85
5,4.99,0.47,4.95,0.36,4.89,3.9,4.9,3.93
6,5.06,0.46,5.0,0.36,4.89,3.81,4.9,3.92
7,5.04,0.45,5.04,0.37,4.69,3.98,4.86,4.19
8,5.0,0.44,5.06,0.36,4.42,3.96,4.34,4.2
9,4.98,0.43,5.09,0.35,4.38,3.9,4.27,4.01
10,4.98,0.43,5.11,0.33,4.31,3.91,4.18,4.05
11,4.99,0.42,5.09,0.33,4.17,3.94,4.06,3.87
12,4.99,0.42,5.12,0.32,4.13,3.95,4.05,3.86
13,5.0,0.41,5.17,0.31,4.1,3.98,4.04,4.02
14,5.03,0.41,5.18,0.3,4.09,4.01,4.01,4.09
15,5.04,0.4,5.18,0.29,4.08,3.96,4.01,4.02
16,5.03,0.4,5.19,0.28,4.06,3.9,4.0,3.93
17,5.03,0.39,5.17,0.28,3.63,3.92,3.47,3.83
18,5.03,0.39,5.23,0.27,3.53,3.91,3.46,3.81
19,5.04,0.39,5.24,0.27,3.51,3.94,3.46,3.84
20,5.04,0.38,5.01,0.31,3.48,3.99,3.44,3.9
21,5.02,0.39,5.24,0.27,3.52,3.95,3.49,3.91
22,5.02,0.38,5.08,0.29,3.48,3.97,3.46,3.89
23,4.99,0.38,5.2,0.27,3.59,3.92,3.47,3.83
24,5.03,0.38,5.22,0.27,3.56,3.92,3.47,3.85
25,5.04,0.38,5.21,0.27,3.56,3.93,3.47,3.9
26,5.03,0.37,5.18,0.27,3.57,3.94,3.47,3.92
27,5.02,0.37,5.21,0.26,3.5,3.9,3.47,3.91
28,5.03,0.37,5.22,0.26,3.56,3.88,3.47,3.85
29,5.03,0.37,5.21,0.26,3.62,3.88,3.47,3.89
30,5.03,0.37,5.23,0.26,3.59,3.89,3.47,3.87
31,5.04,0.37,5.25,0.26,3.56,3.91,3.47,3.89
32,5.05,0.36,5.24,0.26,3.54,3.92,3.47,3.92
