epoch,loss,val_loss,errCntAvg
1,0.71,0.7,4.06
2,0.7,0.69,4.11
3,0.69,0.68,4.12
4,0.68,0.67,4.14
5,0.67,0.65,4.08
6,0.65,0.63,4.01
7,0.63,0.55,4.19
8,0.56,0.53,4.39
9,0.54,0.52,3.67
10,0.53,0.52,4.08
11,0.53,0.52,4.07
12,0.53,0.52,3.95
13,0.53,0.52,4.08
14,0.53,0.52,4.06
15,0.52,0.51,4.04
16,0.52,0.52,4.14
17,0.52,0.51,4.04
18,0.52,0.52,4.05
19,0.52,0.51,4.0
20,0.52,0.52,4.2
