epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,5.25,0.62,2.31,0.42,1.46,3.56,1.43,3.57
2,3.26,0.48,3.32,0.41,2.88,3.49,2.8,3.49
3,2.93,0.44,2.21,0.36,1.43,3.57,1.42,3.56
4,2.73,0.43,2.14,0.38,1.51,3.94,1.51,3.97
5,2.58,0.42,1.93,0.38,1.33,3.99,1.3,4.01
6,2.42,0.41,1.79,0.32,1.38,3.6,1.32,3.55
7,2.51,0.4,2.24,0.33,1.46,3.56,1.46,3.51
8,2.47,0.4,1.73,0.28,1.43,3.74,1.39,3.71
9,2.4,0.39,1.78,0.31,1.38,3.75,1.33,3.73
10,2.32,0.39,1.73,0.3,1.43,3.91,1.42,3.94
11,2.28,0.38,1.72,0.28,1.5,3.88,1.46,3.89
12,2.25,0.38,1.7,0.3,1.38,3.89,1.35,3.88
13,2.22,0.38,1.69,0.28,1.43,3.8,1.38,3.8
14,2.21,0.37,1.61,0.28,1.39,3.83,1.37,3.84
15,2.18,0.37,1.6,0.27,1.37,3.85,1.31,3.86
16,2.16,0.37,1.62,0.27,1.38,3.81,1.35,3.82
17,2.16,0.36,1.57,0.27,1.37,3.84,1.33,3.86
18,2.14,0.36,1.58,0.27,1.34,3.78,1.29,3.77
19,2.12,0.36,1.56,0.27,1.33,3.75,1.27,3.75
20,2.11,0.36,1.56,0.26,1.32,3.73,1.26,3.75
21,2.1,0.35,1.54,0.26,1.36,3.75,1.34,3.74
22,2.09,0.35,1.53,0.26,1.29,3.74,1.22,3.74
23,2.07,0.35,1.51,0.26,1.33,3.74,1.31,3.75
24,2.06,0.35,1.51,0.25,1.34,3.76,1.26,3.75
25,2.05,0.35,1.49,0.25,1.29,3.72,1.26,3.7
26,2.04,0.35,1.49,0.25,1.3,3.74,1.26,3.75
27,2.03,0.35,1.52,0.25,1.3,3.72,1.25,3.71
28,2.02,0.34,1.48,0.25,1.31,3.73,1.29,3.72
29,2.02,0.34,1.49,0.25,1.28,3.73,1.23,3.73
30,2.01,0.34,1.49,0.25,1.3,3.73,1.27,3.75
31,1.99,0.34,1.48,0.24,1.28,3.71,1.25,3.7
32,1.98,0.34,1.47,0.25,1.29,3.73,1.25,3.73
33,1.96,0.34,1.48,0.24,1.3,3.75,1.28,3.73
34,1.95,0.34,1.46,0.24,1.26,3.75,1.2,3.74
35,1.95,0.34,1.47,0.24,1.27,3.71,1.24,3.68
36,1.93,0.34,1.46,0.24,1.27,3.72,1.23,3.7
37,1.92,0.34,1.46,0.24,1.26,3.73,1.22,3.73
38,1.91,0.33,1.49,0.24,1.31,3.74,1.26,3.72
39,1.9,0.33,1.45,0.24,1.25,3.77,1.2,3.75
40,1.89,0.33,1.45,0.24,1.3,3.75,1.23,3.72
41,1.88,0.33,1.46,0.24,1.29,3.73,1.24,3.69
42,1.86,0.33,1.45,0.24,1.3,3.77,1.24,3.77
43,1.86,0.33,1.46,0.24,1.28,3.79,1.2,3.77
44,1.86,0.33,1.47,0.24,1.28,3.75,1.22,3.74
45,1.83,0.33,1.47,0.24,1.29,3.76,1.2,3.74
46,1.82,0.33,1.46,0.24,1.28,3.79,1.23,3.74
47,1.8,0.33,1.47,0.24,1.27,3.76,1.21,3.75
48,1.79,0.33,1.46,0.24,1.27,3.75,1.2,3.74
49,1.78,0.33,1.47,0.24,1.28,3.79,1.25,3.78
50,1.78,0.33,1.46,0.24,1.29,3.72,1.25,3.68
51,1.78,0.33,1.48,0.24,1.28,3.79,1.25,3.79
52,1.75,0.32,1.47,0.25,1.3,3.76,1.22,3.76
53,1.73,0.32,1.51,0.24,1.3,3.74,1.24,3.72
54,1.72,0.32,1.47,0.24,1.29,3.74,1.24,3.75
55,1.7,0.32,1.49,0.24,1.25,3.76,1.21,3.75
56,1.67,0.32,1.51,0.24,1.27,3.75,1.21,3.78
57,1.65,0.32,1.51,0.24,1.29,3.78,1.24,3.79
