epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.78,0.69,4.75,0.63,4.11,3.87,4.02,3.78
2,4.71,0.64,4.64,0.55,4.13,3.84,4.1,3.81
3,4.61,0.58,4.41,0.45,4.15,3.81,4.13,3.87
4,4.36,0.51,3.8,0.34,4.12,3.87,4.06,3.9
5,3.89,0.49,3.39,0.34,3.6,3.52,3.63,3.52
6,3.62,0.46,3.25,0.37,3.61,3.79,3.63,3.83
7,3.49,0.45,3.07,0.38,3.6,3.89,3.63,3.98
8,3.32,0.44,2.82,0.36,2.0,3.9,2.0,4.0
9,3.15,0.44,2.65,0.34,1.76,3.91,1.76,4.03
10,3.06,0.43,2.58,0.34,1.63,3.76,1.61,3.84
11,3.03,0.42,2.53,0.33,1.48,3.75,1.52,3.84
12,2.98,0.42,2.41,0.32,1.43,3.8,1.5,3.89
13,2.91,0.41,2.31,0.31,1.43,3.82,1.54,3.89
14,2.84,0.41,2.2,0.3,1.47,3.8,1.62,3.86
15,2.77,0.4,2.08,0.29,1.53,3.8,1.66,3.85
16,2.71,0.4,2.03,0.29,1.51,3.83,1.66,3.85
17,2.66,0.39,1.98,0.28,1.47,3.9,1.65,3.93
18,2.62,0.39,1.9,0.27,1.43,3.9,1.61,3.94
19,2.58,0.38,1.85,0.27,1.39,3.89,1.56,3.95
20,2.6,0.38,1.81,0.27,1.36,3.89,1.48,3.98
21,2.53,0.38,1.79,0.26,1.37,3.88,1.48,3.96
22,2.52,0.38,1.79,0.26,1.38,3.9,1.52,3.98
23,2.49,0.38,1.74,0.26,1.38,3.91,1.55,3.97
24,2.48,0.37,1.74,0.26,1.38,3.92,1.57,3.99
25,2.46,0.38,1.74,0.26,1.39,3.93,1.58,4.0
26,2.45,0.37,1.75,0.27,1.41,3.96,1.65,4.0
27,2.44,0.37,1.74,0.26,1.41,3.96,1.62,4.0
28,2.43,0.37,1.73,0.26,1.37,3.94,1.57,3.99
29,2.43,0.37,1.71,0.26,1.37,3.9,1.55,3.98
30,2.41,0.37,1.8,0.27,1.36,3.87,1.55,3.97
31,2.4,0.37,1.72,0.26,1.39,3.92,1.6,4.02
32,2.38,0.37,1.7,0.25,1.37,3.89,1.57,3.98
33,2.37,0.37,1.73,0.26,1.35,3.87,1.55,3.94
34,2.37,0.36,1.69,0.25,1.38,3.89,1.62,3.98
35,2.36,0.36,1.71,0.26,1.37,3.89,1.58,3.97
36,2.36,0.36,1.7,0.26,1.36,3.88,1.56,3.96
37,2.34,0.36,1.68,0.25,1.38,3.9,1.62,3.96
38,2.34,0.36,1.71,0.26,1.37,3.89,1.57,3.97
39,2.33,0.36,1.67,0.25,1.37,3.86,1.58,3.94
40,2.33,0.36,1.67,0.25,1.37,3.88,1.57,3.96
41,2.32,0.36,1.7,0.26,1.38,3.87,1.58,3.94
42,2.32,0.36,1.67,0.25,1.39,3.86,1.62,3.94
43,2.31,0.36,1.66,0.25,1.37,3.84,1.56,3.92
44,2.3,0.36,1.66,0.25,1.4,3.85,1.59,3.94
45,2.3,0.36,1.66,0.25,1.39,3.84,1.61,3.92
46,2.29,0.36,1.65,0.25,1.37,3.83,1.57,3.92
47,2.29,0.36,1.66,0.25,1.36,3.83,1.56,3.92
48,2.29,0.36,1.65,0.25,1.37,3.83,1.58,3.91
49,2.28,0.35,1.65,0.25,1.36,3.84,1.57,3.92
50,2.28,0.35,1.65,0.25,1.39,3.84,1.6,3.92
51,2.27,0.35,1.64,0.25,1.37,3.83,1.58,3.92
52,2.26,0.35,1.64,0.25,1.38,3.82,1.59,3.89
53,2.26,0.35,1.63,0.25,1.36,3.81,1.59,3.89
54,2.26,0.35,1.62,0.25,1.37,3.81,1.6,3.89
55,2.25,0.35,1.63,0.25,1.36,3.81,1.6,3.88
56,2.25,0.35,1.62,0.25,1.36,3.81,1.59,3.88
57,2.24,0.35,1.62,0.25,1.36,3.81,1.59,3.87
58,2.23,0.35,1.61,0.25,1.36,3.79,1.6,3.83
59,2.23,0.35,1.61,0.25,1.35,3.79,1.58,3.83
60,2.23,0.35,1.94,0.28,1.69,3.78,1.98,3.84
61,2.36,0.37,1.74,0.27,1.33,3.72,1.49,3.77
62,2.49,0.38,1.69,0.26,1.43,3.81,1.67,3.8
63,2.39,0.38,1.66,0.26,1.37,3.76,1.65,3.78
64,2.34,0.37,1.74,0.27,1.35,3.76,1.59,3.8
65,2.3,0.36,1.61,0.25,1.34,3.78,1.57,3.83
66,2.28,0.36,1.6,0.25,1.36,3.79,1.58,3.85
67,2.26,0.36,1.7,0.26,1.37,3.81,1.61,3.86
68,2.26,0.35,1.58,0.25,1.33,3.77,1.56,3.82
69,2.24,0.35,1.57,0.25,1.32,3.77,1.54,3.8
70,2.23,0.35,1.57,0.25,1.32,3.75,1.55,3.79
71,2.22,0.35,1.56,0.25,1.34,3.78,1.57,3.82
72,2.22,0.35,1.57,0.25,1.34,3.77,1.56,3.82
73,2.21,0.35,1.56,0.25,1.34,3.77,1.56,3.8
74,2.2,0.35,1.55,0.24,1.33,3.74,1.55,3.77
75,2.2,0.35,1.55,0.24,1.32,3.73,1.54,3.73
76,2.2,0.35,1.57,0.25,1.32,3.73,1.54,3.74
77,2.19,0.35,1.55,0.24,1.32,3.74,1.55,3.75
78,2.19,0.35,1.56,0.25,1.32,3.75,1.54,3.75
79,2.19,0.35,1.54,0.24,1.31,3.73,1.52,3.74
80,2.18,0.35,1.54,0.24,1.3,3.73,1.52,3.72
81,2.18,0.35,1.53,0.24,1.3,3.72,1.54,3.72
82,2.17,0.35,1.54,0.24,1.3,3.73,1.53,3.71
83,2.17,0.35,1.54,0.24,1.29,3.73,1.51,3.69
84,2.17,0.35,1.53,0.24,1.29,3.73,1.49,3.71
85,2.17,0.35,1.54,0.24,1.3,3.74,1.5,3.71
86,2.17,0.34,1.54,0.24,1.29,3.73,1.51,3.7
87,2.16,0.34,1.53,0.24,1.29,3.72,1.51,3.69
88,2.16,0.34,1.52,0.24,1.28,3.73,1.5,3.68
89,2.16,0.34,1.53,0.24,1.29,3.74,1.49,3.7
90,2.15,0.34,1.53,0.24,1.29,3.73,1.5,3.71
91,2.15,0.34,1.52,0.24,1.28,3.72,1.51,3.71
92,2.15,0.34,1.52,0.24,1.29,3.73,1.5,3.69
93,2.15,0.34,1.52,0.24,1.28,3.73,1.49,3.7
94,2.14,0.34,1.51,0.24,1.27,3.71,1.49,3.7
95,2.14,0.34,1.52,0.24,1.28,3.72,1.49,3.7
96,2.14,0.34,1.51,0.24,1.29,3.73,1.5,3.71
97,2.14,0.34,1.52,0.24,1.28,3.71,1.48,3.69
98,2.14,0.34,1.51,0.24,1.27,3.71,1.47,3.69
99,2.13,0.34,1.51,0.24,1.29,3.73,1.49,3.71
100,2.13,0.34,1.52,0.24,1.29,3.73,1.49,3.72
101,2.13,0.34,1.51,0.24,1.27,3.72,1.47,3.7
102,2.13,0.34,1.51,0.24,1.28,3.71,1.47,3.71
103,2.13,0.34,1.5,0.24,1.28,3.72,1.48,3.71
104,2.13,0.34,1.5,0.24,1.28,3.71,1.48,3.71
105,2.13,0.34,1.5,0.24,1.28,3.71,1.48,3.71
106,2.12,0.34,1.51,0.24,1.28,3.7,1.48,3.69
107,2.12,0.34,1.5,0.24,1.28,3.71,1.48,3.71
108,2.12,0.34,1.49,0.24,1.28,3.72,1.48,3.71
109,2.12,0.34,1.5,0.24,1.27,3.72,1.47,3.71
110,2.12,0.34,1.51,0.24,1.28,3.72,1.48,3.72
111,2.12,0.34,1.49,0.24,1.27,3.73,1.47,3.71
112,2.12,0.34,1.49,0.24,1.27,3.71,1.47,3.71
113,2.11,0.34,1.51,0.24,1.27,3.7,1.48,3.71
114,2.11,0.34,1.5,0.24,1.27,3.71,1.47,3.7
115,2.11,0.34,1.5,0.24,1.27,3.72,1.47,3.72
116,2.11,0.34,1.5,0.24,1.28,3.72,1.48,3.72
117,2.1,0.34,1.51,0.24,1.26,3.72,1.46,3.7
118,2.1,0.34,1.5,0.24,1.28,3.72,1.48,3.71
119,2.1,0.34,1.5,0.24,1.27,3.72,1.47,3.71
120,2.1,0.34,1.5,0.24,1.26,3.71,1.47,3.71
121,2.1,0.34,1.5,0.24,1.28,3.71,1.48,3.72
122,2.1,0.34,1.49,0.24,1.27,3.72,1.48,3.71
123,2.1,0.34,1.49,0.24,1.27,3.72,1.47,3.71
124,2.12,0.34,1.56,0.24,1.29,3.74,1.47,3.73
125,3.2,0.46,2.72,0.36,1.38,3.64,1.44,3.63
126,5.01,0.58,2.42,0.36,1.38,3.66,1.45,3.65
127,3.87,0.48,1.92,0.4,1.31,3.74,1.44,3.71
128,2.97,0.44,1.89,0.38,1.35,3.77,1.48,3.75
129,2.63,0.42,1.98,0.35,1.35,3.84,1.48,3.81
130,2.53,0.4,2.01,0.33,1.33,3.82,1.49,3.8
131,2.47,0.39,1.99,0.3,1.33,3.82,1.51,3.8
132,2.43,0.38,1.96,0.29,1.36,3.84,1.52,3.78
133,2.4,0.37,1.91,0.28,1.35,3.88,1.53,3.84
134,2.36,0.37,1.85,0.27,1.34,3.91,1.51,3.89
135,2.32,0.36,1.77,0.26,1.33,3.91,1.48,3.88
136,2.28,0.36,1.69,0.26,1.28,3.87,1.45,3.84
137,2.25,0.36,1.62,0.26,1.28,3.83,1.43,3.77
138,2.22,0.36,1.57,0.25,1.26,3.8,1.43,3.75
139,2.2,0.35,1.54,0.25,1.26,3.79,1.43,3.75
140,2.18,0.35,1.51,0.25,1.26,3.78,1.45,3.74
141,2.17,0.35,1.49,0.25,1.25,3.77,1.45,3.73
142,2.17,0.35,1.48,0.25,1.26,3.77,1.46,3.75
143,2.16,0.35,1.48,0.25,1.26,3.77,1.46,3.75
144,2.16,0.35,1.48,0.25,1.27,3.77,1.46,3.75
145,2.15,0.35,1.47,0.25,1.27,3.77,1.45,3.75
146,2.15,0.35,1.47,0.24,1.25,3.77,1.46,3.75
147,2.15,0.35,1.47,0.24,1.25,3.76,1.46,3.75
148,2.14,0.35,1.47,0.24,1.25,3.76,1.46,3.73
149,2.14,0.35,1.47,0.24,1.25,3.76,1.46,3.74
150,2.13,0.35,1.47,0.24,1.25,3.76,1.46,3.75
151,2.13,0.35,1.47,0.24,1.25,3.76,1.46,3.74
152,2.13,0.35,1.47,0.24,1.25,3.76,1.46,3.74
153,2.12,0.35,1.47,0.24,1.25,3.75,1.46,3.73
154,2.12,0.35,1.47,0.24,1.25,3.75,1.46,3.73
155,2.12,0.34,1.47,0.24,1.26,3.75,1.46,3.73
156,2.12,0.34,1.47,0.24,1.26,3.76,1.47,3.74
157,2.11,0.34,1.47,0.24,1.25,3.75,1.47,3.73
158,2.11,0.34,1.47,0.24,1.26,3.75,1.47,3.73
159,2.11,0.34,1.47,0.24,1.26,3.74,1.47,3.73
160,2.11,0.34,1.47,0.24,1.26,3.74,1.46,3.73
161,2.11,0.34,1.47,0.24,1.26,3.74,1.46,3.73
162,2.1,0.34,1.47,0.24,1.27,3.75,1.46,3.74
163,2.1,0.34,1.47,0.24,1.27,3.75,1.47,3.73
164,2.1,0.34,1.47,0.24,1.27,3.75,1.46,3.74
165,2.1,0.34,1.47,0.24,1.27,3.74,1.47,3.73
166,2.1,0.34,1.47,0.24,1.27,3.74,1.47,3.73
167,2.09,0.34,1.47,0.24,1.27,3.74,1.48,3.72
168,2.09,0.34,1.47,0.24,1.26,3.74,1.48,3.72
169,2.09,0.34,1.47,0.24,1.27,3.75,1.48,3.73
170,2.09,0.34,1.46,0.24,1.26,3.74,1.47,3.72
171,2.09,0.34,1.47,0.24,1.26,3.74,1.47,3.71
172,2.09,0.34,1.47,0.24,1.26,3.74,1.47,3.73
173,2.09,0.34,1.47,0.24,1.26,3.74,1.47,3.72
174,2.08,0.34,1.47,0.24,1.26,3.75,1.47,3.72
175,2.08,0.34,1.46,0.24,1.26,3.74,1.47,3.71
176,2.08,0.34,1.47,0.24,1.26,3.74,1.47,3.72
177,2.08,0.34,1.47,0.24,1.26,3.75,1.48,3.73
178,2.08,0.34,1.46,0.24,1.26,3.75,1.48,3.73
