epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.77,0.69,4.62,0.66,3.72,3.73,3.48,3.81
2,4.61,0.67,4.32,0.62,1.73,3.85,1.47,3.79
3,4.38,0.63,3.73,0.53,1.55,3.87,1.42,3.8
4,3.87,0.57,2.67,0.42,1.48,3.98,1.48,4.03
5,3.33,0.55,2.48,0.37,1.46,3.73,1.48,3.71
6,3.17,0.53,2.64,0.36,2.73,3.79,1.68,3.77
7,3.06,0.5,2.46,0.37,1.57,4.01,1.57,4.07
8,2.95,0.48,2.19,0.38,1.51,4.1,1.61,4.13
9,2.84,0.47,2.05,0.38,1.52,3.99,1.5,4.03
10,2.75,0.46,1.88,0.36,1.55,3.78,1.51,3.8
11,2.66,0.45,1.83,0.35,1.51,3.66,1.46,3.72
12,2.6,0.45,1.8,0.33,1.51,3.72,1.57,3.74
13,2.56,0.44,1.77,0.32,1.53,3.72,1.65,3.72
14,2.53,0.43,1.75,0.31,1.53,3.66,1.61,3.62
15,2.5,0.42,1.75,0.3,1.5,3.58,1.49,3.6
16,2.49,0.42,1.77,0.29,1.48,3.58,1.42,3.57
17,2.5,0.42,3.16,0.36,2.68,3.6,2.94,3.64
18,2.58,0.42,1.73,0.29,1.44,3.59,1.42,3.54
19,2.47,0.42,1.73,0.29,1.45,3.54,1.42,3.46
20,2.44,0.41,1.72,0.29,1.44,3.53,1.38,3.39
21,2.42,0.41,1.71,0.28,1.43,3.67,1.41,3.49
22,2.42,0.41,1.7,0.28,1.42,3.76,1.41,3.72
23,2.4,0.4,1.72,0.28,1.41,3.76,1.38,3.72
24,2.39,0.4,1.7,0.28,1.43,3.74,1.4,3.69
25,2.37,0.4,1.69,0.28,1.45,3.69,1.44,3.51
26,2.36,0.4,1.68,0.28,1.43,3.67,1.4,3.44
27,2.36,0.4,1.68,0.27,1.39,3.65,1.38,3.41
28,2.35,0.4,1.67,0.27,1.42,3.68,1.42,3.46
29,2.34,0.39,1.67,0.27,1.42,3.69,1.4,3.47
30,2.34,0.39,1.68,0.27,1.4,3.71,1.39,3.5
31,2.33,0.39,1.66,0.27,1.45,3.73,1.46,3.59
