epoch,loss1,loss12,val_loss1,val_loss12,errCntAvg1,errCntAvg12,uniqIdx1,uniqIdx12,norm1,norm12
10,566.64,0.69,566.35,0.7,3.44,1.48,45,4,3.4364062500000001,1.47828125
20,566.44,0.69,566.33,0.7,3.22,1.52,44,6,3.2190625000000002,1.51609375
30,566.38,0.69,566.33,0.7,3.41,1.5,44,7,3.4148437500000002,1.50078125
40,566.36,0.69,566.33,0.7,3.42,1.52,45,9,3.4232812500000001,1.52078125
50,566.34,0.69,566.33,0.7,3.47,1.53,45,11,3.465859375,1.5345312499999999
60,566.34,0.69,566.33,0.7,1.89,3.13,44,10,1.8907812500000001,3.1314062499999999
70,566.33,0.7,566.33,0.7,3.41,3.14,44,7,3.4078124999999999,3.1420312500000001
80,566.33,0.7,566.33,0.7,3.85,3.32,44,8,3.8507812499999998,3.3226562500000001
90,566.33,0.7,566.33,0.7,3.49,3.32,45,7,3.4934375000000002,3.31640625
100,566.33,0.7,566.33,0.7,3.23,3.31,45,7,3.22953125,3.3114062500000001
