epoch,loss1,loss12,val_loss1,val_loss12,errCntAvg1,errCntAvg12,uniqIdx1,uniqIdx12,norm1,norm12
10,568.14,0.19,566.38,0.19,3.48,1.48,44,1,3.4821875000000002,1.48265625
20,566.62,0.18,566.34,0.18,3.41,3.8,46,7,3.41015625,3.7967187500000001
30,566.41,0.18,566.33,0.18,3.77,4.01,43,11,3.77390625,4.0085937500000002
40,566.37,0.18,566.33,0.18,3.42,3.99,46,9,3.4187500000000002,3.9935937500000001
50,566.36,0.18,566.33,0.17,3.29,4.41,44,7,3.2940624999999999,4.4085937499999996
60,566.35,0.18,566.33,0.17,3.29,4.34,44,7,3.2875000000000001,4.3410937499999998
70,566.34,0.18,566.33,0.17,3.31,4.4,44,9,3.3117187499999998,4.3982812500000001
80,566.34,0.18,566.33,0.17,3.31,4.5,46,5,3.3142187500000002,4.5042187499999997
90,566.34,0.18,566.33,0.17,3.35,4.49,45,6,3.346171875,4.4907812500000004
100,566.34,0.18,566.33,0.17,3.45,4.37,42,2,3.4509375000000002,4.3689062500000002
