epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.65,0.63,3.41,0.35,1.52,3.73,1.49,3.72
2,3.48,0.49,2.99,0.39,2.93,3.58,2.9,3.55
3,3.11,0.44,2.39,0.36,1.64,3.44,1.62,3.41
4,2.81,0.42,2.05,0.32,1.42,4.05,1.42,4.1
5,2.72,0.41,2.14,0.33,1.37,4.15,1.36,4.15
6,2.61,0.41,2.0,0.32,1.5,4.13,1.49,4.14
7,2.5,0.4,1.81,0.3,1.5,4.03,1.45,4.04
8,2.4,0.39,1.79,0.27,1.36,3.8,1.33,3.77
9,2.4,0.38,1.79,0.27,1.34,3.77,1.32,3.74
10,2.36,0.37,1.73,0.27,1.43,3.86,1.4,3.88
11,2.34,0.37,1.72,0.28,1.42,3.9,1.4,3.88
12,2.29,0.37,1.7,0.28,1.48,3.9,1.45,3.9
13,2.26,0.36,1.7,0.26,1.4,3.85,1.37,3.83
14,2.25,0.36,1.67,0.26,1.4,3.86,1.37,3.86
15,2.22,0.36,1.64,0.26,1.41,3.8,1.41,3.78
16,2.2,0.35,1.66,0.26,1.41,3.8,1.37,3.8
17,2.19,0.35,1.63,0.26,1.37,3.77,1.34,3.77
18,2.18,0.35,1.62,0.26,1.38,3.78,1.33,3.79
19,2.16,0.35,1.61,0.25,1.37,3.75,1.33,3.75
20,2.15,0.35,1.59,0.26,1.35,3.73,1.29,3.73
21,2.13,0.35,1.57,0.25,1.33,3.7,1.26,3.7
22,2.12,0.34,1.55,0.25,1.35,3.73,1.29,3.73
23,2.11,0.34,1.54,0.25,1.31,3.7,1.26,3.68
24,2.1,0.34,1.54,0.25,1.38,3.75,1.33,3.74
25,2.09,0.34,1.51,0.24,1.33,3.74,1.27,3.74
26,2.08,0.34,1.53,0.25,1.36,3.75,1.31,3.77
27,2.07,0.34,1.52,0.24,1.31,3.71,1.25,3.7
28,2.06,0.34,1.51,0.25,1.34,3.72,1.29,3.7
29,2.05,0.34,1.49,0.24,1.32,3.73,1.27,3.73
30,2.04,0.34,1.49,0.24,1.29,3.7,1.22,3.68
31,2.03,0.33,1.5,0.25,1.27,3.72,1.22,3.72
32,2.03,0.34,1.48,0.24,1.28,3.71,1.23,3.69
33,2.03,0.33,1.5,0.24,1.34,3.74,1.28,3.74
34,2.02,0.33,1.49,0.24,1.27,3.73,1.23,3.73
35,2.01,0.33,1.49,0.24,1.29,3.72,1.25,3.72
36,2.0,0.33,1.5,0.24,1.29,3.74,1.23,3.72
37,1.99,0.33,1.47,0.24,1.28,3.72,1.22,3.71
38,1.98,0.33,1.47,0.24,1.29,3.75,1.23,3.74
39,1.97,0.33,1.48,0.24,1.3,3.74,1.24,3.75
40,1.96,0.33,1.48,0.24,1.28,3.73,1.22,3.72
41,1.96,0.33,1.47,0.24,1.25,3.74,1.2,3.74
42,1.95,0.33,1.47,0.24,1.31,3.76,1.25,3.76
43,1.94,0.33,1.46,0.24,1.27,3.73,1.19,3.71
44,1.93,0.33,1.47,0.24,1.28,3.74,1.23,3.72
