epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.63,0.67,3.8,0.6,1.58,3.74,1.57,3.75
2,3.96,0.61,2.2,0.41,1.49,3.73,1.49,3.75
3,3.18,0.49,2.53,0.35,1.51,3.87,1.49,3.9
4,2.93,0.45,2.61,0.36,2.97,3.92,2.96,3.95
5,2.77,0.43,2.03,0.35,1.44,3.6,1.4,3.56
6,2.68,0.42,1.92,0.34,1.37,3.69,1.36,3.7
7,2.61,0.42,1.95,0.34,1.32,3.87,1.31,3.88
8,2.53,0.41,1.87,0.33,1.48,3.92,1.46,3.94
9,2.45,0.41,1.76,0.31,1.46,3.91,1.4,3.93
10,2.39,0.4,1.73,0.3,1.43,3.94,1.4,3.94
11,2.35,0.4,1.7,0.28,1.38,3.9,1.35,3.88
12,2.32,0.39,1.71,0.28,1.39,3.91,1.37,3.9
13,2.3,0.39,1.73,0.27,1.44,3.97,1.38,3.98
14,2.29,0.39,1.7,0.29,1.4,3.97,1.35,3.98
15,2.26,0.38,1.66,0.28,1.4,3.98,1.36,3.98
16,2.24,0.38,1.65,0.28,1.39,3.94,1.34,3.95
17,2.23,0.38,1.64,0.28,1.4,3.92,1.34,3.95
18,2.21,0.38,1.63,0.27,1.38,3.93,1.31,3.94
19,2.2,0.37,1.61,0.27,1.35,3.92,1.29,3.94
20,2.18,0.37,1.63,0.27,1.37,3.93,1.29,3.93
21,2.17,0.37,1.59,0.27,1.34,3.9,1.28,3.89
22,2.16,0.37,1.58,0.27,1.32,3.89,1.27,3.87
23,2.15,0.36,1.6,0.26,1.38,3.9,1.33,3.89
24,2.14,0.36,1.55,0.27,1.32,3.9,1.29,3.89
25,2.13,0.36,1.58,0.26,1.34,3.89,1.31,3.9
26,2.12,0.36,1.55,0.26,1.3,3.85,1.26,3.85
27,2.11,0.36,1.54,0.26,1.33,3.9,1.31,3.91
28,2.1,0.36,1.56,0.26,1.33,3.88,1.3,3.89
29,2.09,0.36,1.53,0.26,1.32,3.88,1.27,3.88
30,2.08,0.36,1.54,0.25,1.32,3.86,1.27,3.86
31,2.07,0.35,1.53,0.25,1.3,3.83,1.26,3.83
32,2.07,0.35,1.53,0.25,1.3,3.84,1.25,3.84
33,2.06,0.35,1.52,0.25,1.28,3.83,1.23,3.84
34,2.05,0.35,1.5,0.25,1.31,3.85,1.26,3.83
35,2.04,0.35,1.51,0.25,1.26,3.79,1.21,3.8
36,2.04,0.35,1.5,0.25,1.31,3.84,1.27,3.84
37,2.03,0.35,1.49,0.25,1.26,3.78,1.21,3.77
38,2.02,0.35,1.49,0.25,1.27,3.79,1.23,3.8
39,2.01,0.35,1.49,0.25,1.28,3.8,1.24,3.8
40,2.0,0.35,1.48,0.25,1.28,3.77,1.24,3.77
41,2.0,0.34,1.49,0.25,1.3,3.78,1.27,3.78
42,1.99,0.34,1.47,0.25,1.27,3.77,1.24,3.78
43,1.98,0.34,1.48,0.25,1.29,3.75,1.26,3.76
44,2.0,0.35,1.53,0.25,1.23,3.76,1.2,3.76
45,2.02,0.35,1.51,0.25,1.32,3.77,1.28,3.77
46,1.99,0.35,1.49,0.25,1.29,3.77,1.22,3.74
47,1.98,0.35,1.51,0.26,1.29,3.79,1.23,3.81
48,1.97,0.35,1.48,0.25,1.27,3.72,1.22,3.72
49,1.96,0.34,1.49,0.25,1.3,3.74,1.24,3.74
50,1.94,0.34,1.46,0.24,1.3,3.75,1.23,3.76
51,1.94,0.34,1.47,0.24,1.34,3.78,1.29,3.8
52,1.93,0.34,1.48,0.24,1.28,3.75,1.24,3.75
53,1.92,0.34,1.47,0.25,1.31,3.79,1.3,3.79
54,1.91,0.34,1.45,0.24,1.28,3.76,1.23,3.76
