epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.72,0.69,4.37,0.63,1.97,3.77,1.93,3.74
2,4.44,0.64,3.81,0.56,1.69,3.75,1.63,3.75
3,4.01,0.58,2.82,0.44,1.57,3.77,1.57,3.83
4,3.33,0.5,2.21,0.35,1.5,3.68,1.49,3.68
5,3.07,0.48,2.41,0.34,1.77,3.9,1.74,3.92
6,2.91,0.45,2.52,0.36,1.47,3.72,1.45,3.71
7,2.86,0.44,2.23,0.36,1.52,3.74,1.52,3.75
8,2.77,0.43,1.96,0.34,1.49,3.75,1.51,3.73
9,2.71,0.43,1.9,0.33,1.46,3.86,1.44,3.85
10,2.62,0.42,1.93,0.32,1.65,3.94,1.67,3.96
11,2.54,0.42,1.79,0.31,1.67,3.96,1.69,3.99
12,2.49,0.41,1.75,0.29,1.38,3.96,1.35,3.98
13,2.44,0.41,1.75,0.29,1.42,3.91,1.42,3.89
14,2.42,0.4,1.73,0.28,1.49,3.89,1.5,3.87
15,2.39,0.4,1.73,0.28,1.46,3.88,1.47,3.85
16,2.38,0.4,1.73,0.27,1.44,3.86,1.4,3.83
17,2.36,0.39,1.71,0.27,1.43,3.88,1.38,3.88
18,2.34,0.39,1.69,0.27,1.38,3.91,1.35,3.93
19,2.32,0.39,1.68,0.27,1.36,3.91,1.32,3.92
20,2.31,0.39,1.67,0.27,1.37,3.9,1.33,3.89
21,2.3,0.38,1.67,0.27,1.43,3.9,1.38,3.9
22,2.29,0.38,1.67,0.26,1.43,3.88,1.38,3.87
23,2.27,0.38,1.65,0.27,1.38,3.86,1.33,3.86
24,2.26,0.38,1.65,0.26,1.39,3.88,1.33,3.88
25,2.25,0.38,1.64,0.26,1.4,3.89,1.33,3.93
26,2.24,0.37,1.64,0.26,1.4,3.91,1.34,3.94
27,2.23,0.37,1.63,0.26,1.41,3.9,1.37,3.93
28,2.22,0.37,1.62,0.26,1.37,3.91,1.35,3.92
29,2.21,0.37,1.62,0.26,1.39,3.92,1.36,3.94
30,2.2,0.37,1.6,0.26,1.39,3.91,1.36,3.94
31,2.2,0.36,1.6,0.26,1.38,3.89,1.34,3.9
