epoch,loss1,loss12,val_loss1,val_loss12,errCntAvg1,errCntAvg12,uniqIdx1,uniqIdx12,norm1,norm12
10,566.8,0.43,566.36,0.45,3.3,1.48,45,1,3.29984375,1.48265625
20,566.53,0.21,566.34,0.21,3.44,1.48,44,1,3.4364062500000001,1.48265625
30,566.36,0.19,566.33,0.18,3.27,1.48,45,1,3.2703125000000002,1.48265625
40,566.34,0.19,566.33,0.18,3.26,1.48,44,1,3.2620312500000002,1.48265625
50,566.34,0.18,566.33,0.18,3.37,4.22,46,12,3.3664062499999998,4.2164062500000004
60,566.33,0.18,566.33,0.18,3.37,4.19,46,9,3.36765625,4.19140625
70,566.33,0.18,566.33,0.18,3.51,4.21,44,9,3.5140625000000001,4.2054687499999996
80,566.33,0.18,566.33,0.18,3.52,4.2,44,8,3.5240624999999999,4.2032812499999999
90,566.33,0.18,566.33,0.18,3.4,4.28,46,6,3.395546875,4.2785937499999998
100,566.33,0.18,566.33,0.18,3.35,4.39,46,7,3.353984375,4.3926562499999999
