epoch,train1,train12,val1,val12,err1,err12,err1Avg,err12Avg
1,4.74,0.69,4.4,0.63,1.93,3.64,1.91,3.66
2,4.51,0.63,3.96,0.54,1.66,3.71,1.63,3.7
3,4.17,0.56,3.15,0.42,1.57,3.76,1.53,3.74
4,3.48,0.48,2.28,0.34,1.49,3.7,1.49,3.71
5,3.09,0.48,2.39,0.35,1.58,3.42,1.57,3.4
6,2.95,0.45,2.53,0.36,1.6,4.0,1.56,4.01
7,2.89,0.44,2.38,0.36,1.56,3.98,1.57,4.01
8,2.82,0.43,2.12,0.33,1.47,3.96,1.45,3.99
9,2.75,0.42,1.98,0.32,1.42,3.76,1.39,3.71
10,2.68,0.42,1.96,0.32,1.41,3.58,1.38,3.55
11,2.6,0.41,1.89,0.31,1.46,3.49,1.42,3.45
12,2.51,0.41,1.76,0.3,1.46,3.56,1.41,3.51
13,2.45,0.4,1.74,0.29,1.49,3.75,1.44,3.73
14,2.43,0.4,1.73,0.28,1.49,3.84,1.44,3.85
15,2.4,0.39,1.73,0.28,1.43,3.83,1.38,3.83
16,2.38,0.39,1.73,0.28,1.36,3.78,1.32,3.75
17,2.36,0.39,1.71,0.27,1.37,3.7,1.31,3.66
18,2.35,0.38,1.69,0.27,1.37,3.66,1.29,3.63
19,2.33,0.38,1.7,0.27,1.4,3.7,1.34,3.71
20,2.32,0.38,1.68,0.26,1.47,3.76,1.41,3.79
21,2.3,0.37,1.68,0.26,1.41,3.75,1.37,3.77
22,2.29,0.37,1.66,0.26,1.4,3.74,1.34,3.74
23,2.28,0.37,1.67,0.26,1.41,3.74,1.35,3.75
24,2.27,0.37,1.65,0.26,1.4,3.75,1.34,3.75
25,2.26,0.37,1.65,0.26,1.42,3.74,1.38,3.76
26,2.25,0.37,1.63,0.26,1.42,3.73,1.35,3.74
27,2.24,0.36,1.64,0.26,1.42,3.75,1.35,3.76
28,2.23,0.36,1.63,0.26,1.4,3.73,1.35,3.73
29,2.22,0.36,1.61,0.26,1.4,3.73,1.35,3.75
30,2.21,0.36,1.61,0.25,1.39,3.74,1.32,3.75
31,2.2,0.36,1.61,0.25,1.39,3.74,1.35,3.74
32,2.19,0.36,1.6,0.25,1.37,3.75,1.33,3.76
33,2.19,0.36,1.59,0.25,1.37,3.76,1.32,3.77
34,2.18,0.36,1.58,0.25,1.37,3.75,1.33,3.75
35,2.17,0.36,1.58,0.25,1.35,3.75,1.3,3.74
36,2.19,0.36,1.63,0.26,1.33,3.73,1.27,3.72
37,2.31,0.38,1.65,0.28,1.33,3.79,1.27,3.78
38,2.25,0.37,1.65,0.28,1.43,3.79,1.38,3.77
39,2.22,0.37,1.58,0.27,1.33,3.72,1.29,3.68
40,2.19,0.36,1.57,0.26,1.3,3.68,1.29,3.67
41,2.18,0.36,1.57,0.26,1.31,3.73,1.26,3.71
42,2.16,0.36,1.57,0.25,1.4,3.78,1.34,3.77
43,2.15,0.35,1.55,0.25,1.33,3.76,1.28,3.74
44,2.14,0.35,1.54,0.25,1.28,3.74,1.23,3.75
45,2.13,0.35,1.54,0.25,1.33,3.77,1.25,3.78
46,2.13,0.35,1.54,0.25,1.33,3.77,1.26,3.77
47,2.12,0.35,1.53,0.25,1.31,3.76,1.25,3.76
48,2.12,0.35,1.53,0.25,1.31,3.75,1.25,3.74
49,2.11,0.35,1.53,0.25,1.33,3.78,1.26,3.79
50,2.11,0.35,1.52,0.25,1.3,3.77,1.26,3.78
51,2.1,0.35,1.51,0.25,1.29,3.74,1.23,3.74
52,2.09,0.35,1.52,0.25,1.3,3.74,1.24,3.75
53,2.09,0.35,1.51,0.25,1.31,3.74,1.23,3.75
54,2.09,0.35,1.51,0.25,1.29,3.72,1.22,3.74
55,2.08,0.35,1.51,0.25,1.3,3.73,1.22,3.73
56,2.08,0.35,1.5,0.25,1.31,3.74,1.23,3.76
57,2.07,0.34,1.5,0.25,1.29,3.72,1.21,3.73
58,2.07,0.34,1.5,0.25,1.3,3.73,1.22,3.74
59,2.06,0.34,1.5,0.24,1.3,3.73,1.22,3.74
60,2.06,0.34,1.5,0.25,1.28,3.73,1.22,3.73
61,2.06,0.34,1.49,0.24,1.28,3.73,1.21,3.71
62,2.05,0.34,1.5,0.24,1.32,3.74,1.23,3.75
63,2.05,0.34,1.5,0.25,1.28,3.72,1.21,3.72
64,2.04,0.34,1.49,0.24,1.29,3.73,1.22,3.7
65,2.04,0.34,1.48,0.24,1.29,3.73,1.21,3.72
66,2.04,0.34,1.49,0.24,1.28,3.74,1.21,3.71
67,2.04,0.34,1.49,0.25,1.27,3.72,1.22,3.72
68,2.03,0.34,1.48,0.24,1.3,3.74,1.22,3.73
69,2.03,0.34,1.48,0.24,1.27,3.73,1.22,3.72
70,2.02,0.34,1.49,0.24,1.28,3.73,1.22,3.72
71,2.02,0.34,1.48,0.24,1.29,3.74,1.23,3.73
72,2.02,0.34,1.49,0.24,1.28,3.73,1.22,3.73
73,2.01,0.34,1.48,0.24,1.3,3.74,1.24,3.71
74,2.01,0.34,1.48,0.24,1.27,3.74,1.22,3.72
75,2.01,0.34,1.48,0.24,1.28,3.74,1.21,3.74
76,2.0,0.34,1.47,0.24,1.28,3.75,1.21,3.73
77,2.0,0.34,1.48,0.24,1.29,3.74,1.25,3.73
78,2.0,0.34,1.48,0.25,1.27,3.74,1.23,3.73
79,2.0,0.34,1.48,0.24,1.27,3.73,1.22,3.72
80,1.99,0.34,1.47,0.24,1.3,3.74,1.24,3.73
81,1.99,0.34,1.48,0.25,1.26,3.74,1.21,3.73
82,1.99,0.34,1.48,0.24,1.3,3.75,1.24,3.74
83,1.98,0.33,1.47,0.24,1.28,3.76,1.21,3.72
84,1.98,0.33,1.48,0.24,1.26,3.75,1.21,3.73
85,1.97,0.33,1.47,0.24,1.28,3.75,1.23,3.75
86,1.97,0.33,1.47,0.24,1.29,3.75,1.23,3.72
87,1.97,0.33,1.48,0.24,1.28,3.75,1.23,3.73
88,1.97,0.33,1.48,0.24,1.28,3.75,1.23,3.73
89,1.96,0.33,1.47,0.24,1.29,3.76,1.23,3.74
90,1.96,0.33,1.47,0.24,1.27,3.75,1.23,3.73
91,1.96,0.33,1.48,0.24,1.3,3.76,1.27,3.74
92,1.96,0.33,1.49,0.24,1.28,3.76,1.21,3.74
93,1.95,0.33,1.5,0.24,1.31,3.77,1.27,3.75
94,1.95,0.33,1.5,0.24,1.28,3.76,1.23,3.75
95,1.95,0.33,1.5,0.24,1.29,3.77,1.25,3.75
96,1.94,0.33,1.48,0.24,1.29,3.76,1.23,3.74
97,1.94,0.33,1.47,0.24,1.29,3.77,1.24,3.76
98,1.94,0.33,1.48,0.24,1.29,3.77,1.24,3.76
99,1.93,0.33,1.48,0.24,1.29,3.76,1.26,3.74
100,1.93,0.33,1.47,0.24,1.28,3.77,1.25,3.78
101,1.92,0.33,1.47,0.24,1.28,3.75,1.23,3.73
102,1.92,0.33,1.47,0.24,1.3,3.77,1.26,3.76
103,1.92,0.33,1.48,0.24,1.3,3.76,1.25,3.76
104,1.92,0.33,1.46,0.24,1.28,3.75,1.24,3.73
105,1.92,0.33,1.48,0.24,1.29,3.77,1.26,3.78
106,1.91,0.33,1.47,0.24,1.28,3.76,1.24,3.75
107,1.91,0.33,1.48,0.24,1.32,3.77,1.28,3.75
108,1.9,0.33,1.48,0.24,1.28,3.76,1.24,3.76
109,1.9,0.33,1.47,0.24,1.28,3.75,1.25,3.75
110,1.9,0.33,1.48,0.24,1.31,3.76,1.26,3.76
111,1.89,0.33,1.47,0.24,1.28,3.77,1.25,3.79
112,1.89,0.33,1.47,0.24,1.29,3.76,1.24,3.78
113,1.89,0.32,1.48,0.24,1.31,3.76,1.29,3.75
114,1.89,0.32,1.47,0.24,1.29,3.75,1.26,3.75
115,1.89,0.32,1.48,0.24,1.29,3.76,1.26,3.75
116,1.88,0.32,1.49,0.25,1.29,3.77,1.25,3.77
117,1.88,0.32,1.49,0.24,1.29,3.75,1.25,3.75
118,1.87,0.32,1.48,0.24,1.29,3.76,1.28,3.74
119,1.87,0.32,1.48,0.24,1.29,3.76,1.26,3.75
120,1.87,0.32,1.49,0.25,1.3,3.76,1.26,3.75
121,1.87,0.32,1.49,0.24,1.3,3.77,1.28,3.75
122,1.86,0.32,1.49,0.24,1.29,3.76,1.24,3.76
123,1.85,0.32,1.48,0.24,1.31,3.75,1.29,3.77
124,1.86,0.32,1.5,0.25,1.31,3.76,1.25,3.73
125,1.86,0.32,1.5,0.25,1.29,3.76,1.27,3.76
126,1.85,0.32,1.5,0.25,1.31,3.76,1.27,3.77
127,1.85,0.32,1.5,0.25,1.31,3.77,1.29,3.75
128,1.84,0.32,1.49,0.24,1.3,3.77,1.25,3.77
129,1.84,0.32,1.5,0.25,1.3,3.76,1.28,3.77
130,1.84,0.32,1.51,0.25,1.31,3.77,1.28,3.75
131,1.83,0.32,1.5,0.25,1.31,3.76,1.26,3.75
132,1.83,0.32,1.5,0.25,1.32,3.76,1.28,3.74
133,1.83,0.32,1.49,0.25,1.3,3.76,1.29,3.75
134,1.83,0.32,1.51,0.25,1.31,3.76,1.26,3.75
135,1.82,0.32,1.49,0.25,1.31,3.77,1.29,3.74
136,1.82,0.32,1.52,0.25,1.3,3.77,1.24,3.76
137,1.82,0.32,1.51,0.25,1.3,3.77,1.25,3.77
138,1.82,0.32,1.51,0.25,1.3,3.77,1.26,3.76
139,1.82,0.32,1.51,0.25,1.31,3.75,1.26,3.77
140,1.82,0.32,1.5,0.25,1.32,3.76,1.29,3.75
141,1.81,0.32,1.49,0.25,1.28,3.76,1.25,3.74
142,1.81,0.32,1.52,0.25,1.32,3.76,1.27,3.75
143,1.81,0.32,1.52,0.25,1.31,3.77,1.25,3.76
144,1.8,0.32,1.51,0.25,1.34,3.77,1.28,3.75
145,1.8,0.32,1.51,0.25,1.3,3.76,1.27,3.76
146,1.79,0.31,1.52,0.25,1.33,3.77,1.26,3.76
147,1.79,0.31,1.53,0.25,1.31,3.77,1.29,3.75
148,1.79,0.31,1.54,0.25,1.31,3.78,1.26,3.77
149,1.79,0.32,1.51,0.25,1.33,3.75,1.28,3.74
150,1.79,0.31,1.52,0.25,1.32,3.76,1.28,3.76
151,1.78,0.31,1.52,0.25,1.31,3.76,1.27,3.75
152,1.78,0.31,1.53,0.25,1.31,3.76,1.26,3.75
153,1.77,0.31,1.54,0.25,1.31,3.77,1.24,3.76
154,1.77,0.31,1.54,0.25,1.35,3.77,1.31,3.75
155,1.76,0.31,1.52,0.25,1.31,3.75,1.27,3.73
156,1.76,0.31,1.53,0.25,1.31,3.76,1.26,3.76
157,1.76,0.31,1.54,0.25,1.33,3.77,1.29,3.75
158,1.76,0.31,1.54,0.25,1.33,3.77,1.29,3.76
159,1.76,0.31,1.54,0.25,1.34,3.77,1.29,3.75
160,1.75,0.31,1.54,0.25,1.32,3.77,1.26,3.75
161,1.76,0.31,1.54,0.25,1.33,3.77,1.29,3.76
162,1.78,0.32,1.53,0.25,1.32,3.75,1.28,3.74
163,1.77,0.31,1.52,0.25,1.32,3.74,1.25,3.75
164,1.77,0.31,1.53,0.25,1.33,3.77,1.29,3.77
165,1.75,0.31,1.53,0.25,1.3,3.79,1.26,3.8
166,1.75,0.31,1.54,0.25,1.31,3.77,1.28,3.78
167,1.74,0.31,1.54,0.25,1.3,3.76,1.26,3.76
168,1.74,0.31,1.54,0.25,1.32,3.77,1.28,3.75
169,1.73,0.31,1.54,0.25,1.32,3.76,1.26,3.75
170,1.73,0.31,1.56,0.25,1.33,3.77,1.29,3.74
171,1.72,0.31,1.55,0.25,1.35,3.76,1.31,3.74
172,1.72,0.31,1.55,0.25,1.34,3.76,1.31,3.76
173,1.71,0.31,1.55,0.25,1.34,3.76,1.3,3.73
174,1.72,0.31,1.56,0.25,1.32,3.76,1.28,3.73
175,1.72,0.31,1.56,0.25,1.32,3.77,1.29,3.76
176,1.71,0.31,1.55,0.25,1.34,3.76,1.3,3.74
177,1.71,0.31,1.55,0.25,1.34,3.77,1.28,3.78
178,1.7,0.31,1.56,0.25,1.33,3.75,1.28,3.75
179,1.7,0.3,1.56,0.25,1.36,3.76,1.32,3.74
180,1.69,0.3,1.55,0.25,1.34,3.78,1.32,3.76
181,1.69,0.3,1.55,0.25,1.34,3.75,1.29,3.75
182,1.69,0.3,1.57,0.25,1.35,3.77,1.32,3.75
183,1.68,0.3,1.57,0.25,1.34,3.76,1.28,3.74
184,1.68,0.3,1.57,0.25,1.34,3.78,1.29,3.78
185,1.68,0.3,1.58,0.25,1.33,3.78,1.31,3.77
186,1.68,0.3,1.57,0.25,1.35,3.76,1.32,3.74
187,1.68,0.3,1.58,0.25,1.35,3.77,1.33,3.74
188,1.68,0.3,1.56,0.25,1.34,3.76,1.31,3.73
189,1.67,0.3,1.58,0.25,1.37,3.78,1.34,3.74
190,1.67,0.3,1.57,0.25,1.34,3.77,1.32,3.76
191,1.67,0.3,1.6,0.26,1.34,3.78,1.31,3.76
192,1.69,0.31,1.57,0.25,1.33,3.76,1.3,3.77
193,1.69,0.31,1.55,0.25,1.37,3.77,1.34,3.74
194,1.69,0.31,1.56,0.25,1.32,3.77,1.27,3.76
195,1.67,0.3,1.59,0.25,1.38,3.76,1.33,3.75
196,1.67,0.3,1.57,0.25,1.36,3.78,1.33,3.76
197,1.66,0.3,1.57,0.25,1.34,3.76,1.31,3.77
198,1.66,0.3,1.58,0.25,1.35,3.76,1.31,3.74
199,1.65,0.3,1.58,0.25,1.33,3.78,1.29,3.77
200,1.65,0.3,1.58,0.25,1.34,3.78,1.29,3.76
