epoch,loss1,loss12,val_loss1,val_loss12,errCntAvg1,errCntAvg12,uniqIdx1,uniqIdx12,norm1,norm12
10,566.7,0.56,566.36,0.59,3.31,1.48,45,1,3.3074218750000002,1.48265625
20,566.49,0.41,566.33,0.45,3.28,1.48,45,1,3.2795312499999998,1.48265625
30,566.42,0.26,566.33,0.27,3.33,1.48,44,1,3.3307031249999999,1.48265625
40,566.36,0.19,566.33,0.19,1.71,1.48,46,1,1.7134374999999999,1.48265625
50,566.34,0.19,566.33,0.18,1.66,1.48,44,1,1.66453125,1.48265625
60,566.34,0.19,566.33,0.18,3.43,1.48,46,1,3.4293749999999998,1.48265625
70,566.33,0.19,566.33,0.18,3.58,1.48,45,1,3.5817187499999998,1.48265625
80,566.33,0.18,566.33,0.17,3.23,1.48,43,1,3.2289062500000001,1.48265625
90,566.33,0.18,566.33,0.17,3.51,3.4,43,4,3.5076562500000001,3.3995312499999999
100,566.33,0.18,566.33,0.17,3.42,3.94,46,5,3.4190624999999999,3.9354687500000001
