ID,artist,song,genre,section,key,mode,tempo,bar
88,Yuko Takehara ,Mega Man 6 - Mr X Stage,Video Game,Chorus,B,Minor,174,16
89,Yuko Takehara ,Mega Man 6 - Tomahawk Man Stage,,Verse,E,Minor,150,8
90,Yuko Takehara ,Mega Man 6 - Tomahawk Man Stage,,Chorus,E,Minor,150,8
91,Yuko Takehara ,Mega Man 6 - Tomahawk Man Stage,,Bridge,G,Major,150,8
92,Yumiko Kanki,F-Zero - Mute City,Video Game,Intro,C,Dorian,194,8
93,Yumiko Kanki,F-Zero - Mute City,Video Game,Verse,C,Minor,195,8
94,Yumiko Kanki,F-Zero - Mute City,Video Game,Pre-Chorus and Chorus,D#,Minor,195,8
95,Yumiko Kanki,F-Zero - Port Town,Video Game,Intro,D#,Phrygian,190,8
96,Yumiko Kanki,F-Zero - Port Town,Video Game,Pre-Chorus and Chorus,C#,Minor,190,32
97,Yuuyu,Deep-Sea Girl,,Intro and Verse,D,Major,134,8
98,Yuzo Koshiro,Actraiser - Fillmore,Video Game,Verse,C,Minor,117,16
99,Yuzo Koshiro,Castlevania PoR - The Gears Go Awry,Video Game,Intro,D,Minor,120,16
100,Yuzo Koshiro,Castlevania PoR - The Gears Go Awry,Video Game,Verse,G#,Minor,120,16
101,Yuzo Koshiro,Castlevania PoR - The Gears Go Awry,Video Game,Chorus,G#,Minor,120,8
