1,0.59,0.31,3.07,2,3.0728124999999999
11,0.22,0.2,3.05,4,3.0532812499999999
21,0.2,0.18,2.87,8,2.8740625
31,0.19,0.18,2.63,36,2.6259375
41,0.17,0.16,2.63,36,2.6273437500000001
51,0.17,0.16,2.54,45,2.5396874999999999
61,0.16,0.15,2.53,57,2.5335937500000001

71,0.16,0.16,2.41,57,2.4100000000000001
81,0.15,0.16,2.89,59,2.8880468750000001
91,0.15,0.16,2.7,63,2.703125
101,0.15,0.15,3.01,59,3.0091406250000001
111,0.14,0.18,2.97,58,2.973125
121,0.14,0.15,2.85,66,2.8485156250000001
131,0.14,0.16,3.09,55,3.0859375
141,0.13,0.15,3.05,59,3.0520312500000002
151,0.13,0.16,3.07,60,3.0717187500000001
161,0.13,0.16,3.12,51,3.1190625000000001
171,0.13,0.19,3.05,48,3.0457812500000001
181,0.13,0.15,3.04,56,3.0418750000000001
191,0.13,0.15,2.99,64,2.9932812499999999
