1,0.57,0.27,3.09,1,3.0881249999999998
11,0.21,0.21,3.09,2,3.0865624999999999
21,0.19,0.19,2.95,12,2.9460937500000002
31,0.18,0.17,3.15,18,3.1521875000000001
41,0.17,0.17,2.89,23,2.8881250000000001
51,0.16,0.16,2.93,34,2.9300000000000002
61,0.16,0.18,3.81,29,3.8112499999999998
71,0.15,0.15,2.9,58,2.8981249999999998
81,0.14,0.16,3.38,40,3.37984375
91,0.15,0.15,3.44,43,3.4407812500000001
101,0.14,0.16,3.14,46,3.1364062499999998
111,0.13,0.17,3.05,57,3.04984375
121,0.13,0.16,3.03,48,3.0290625000000002
131,0.13,0.16,3.2,50,3.19921875
141,0.12,0.15,2.89,53,2.8921874999999999
151,0.13,0.17,3.2,44,3.1984374999999998
161,0.12,0.16,2.9,60,2.8976562499999998
171,0.11,0.17,3.16,50,3.15671875
181,0.11,0.21,2.86,53,2.85640625
191,0.12,0.19,3.1,47,3.1004687500000001
