1,0.6,0.29,3.03,1,3.0267187500000001
11,0.22,0.21,2.99,4,2.9937499999999999
21,0.19,0.18,2.98,5,2.98140625
31,0.18,0.17,2.79,21,2.7912499999999998
41,0.17,0.17,2.73,31,2.7292187499999998
51,0.17,0.16,2.59,45,2.5923437499999999
61,0.16,0.16,2.59,48,2.5924999999999998
71,0.15,0.16,2.69,50,2.6910937499999998
81,0.15,0.15,2.59,57,2.5892187500000001
91,0.14,0.15,2.97,54,2.97359375
101,0.13,0.15,3.04,50,3.0442187500000002
